"Leading.razor.protein","Gene.names","Protein.names","Label","t1.1","t1.2","t2.1","t2.2","t3.1","t3.2","t4.1","t4.2","t5.1","t5.2","t6.1","t6.2","t7.1","t7.2","t8.1","t8.2"
"P17426","Ap2a1","AP-2 complex subunit alpha-1","H",78262.2970875513,85280.294502226,71211.2945916383,81008.6974421439,67668.4315240742,59890.153330181,64268.0621044805,64102.422513815,71809.9330831319,77463.1832952305,56170.4393560388,62837.8002707805,57185.3035017353,73298.2739089551,55754.5613209261,56601.4758933755
"P17426","Ap2a1","AP-2 complex subunit alpha-1","L",738853.230718116,769141.880523217,915324.636920764,880785.49098934,996351.018858043,942267.092193659,724133.930003914,703694.199372407,822903.2522175,782176.95766461,913229.456576454,997114.515649592,714872.416292453,801412.902159039,803592.403456311,822314.068508487
"P17427","Ap2a2","AP-2 complex subunit alpha-2","L",2502518.75249563,2538525.60832035,2694739.07471357,2137586.6950769,2493745.35649338,2506933.34456676,2379277.82126484,2364147.26622717,2311625.9490242,2571138.34280581,2416864.0981919,2581232.78581853,2397277.36854905,2538725.88708477,2361446.53056511,2511396.14496178
"P17427","Ap2a2","AP-2 complex subunit alpha-2","H",82412.5687202033,85373.7222490808,82415.2430099029,93002.3408938638,84999.2016883448,68798.991280456,78589.8602431608,72455.0403780349,74872.0846740049,66501.7198135406,73876.9858906921,88313.1111432624,87228.7633199187,69885.4098591354,66909.3156255427,78651.4516405556
"P17710","Hk1","Hexokinase-1","H",14314.1175513585,16564.7948000599,12732.254107273,13944.4201601742,10101.0683194807,14992.852264679,14735.491464798,4195.16932012234,12895.6424050595,12607.4190816351,11230.2073178381,10398.7553043011,10925.0749599256,8956.24653589831,11004.3701866307,10983.9005187535
"P17710","Hk1","Hexokinase-1","L",54968.492763626,62550.4846289341,64442.9884503275,68509.7536939221,53072.3261155487,60098.3084372301,66074.7038168426,59957.7526971039,49660.2597174419,61017.5658464489,67526.3842119817,65060.2428516265,67008.8717276454,54162.7118062292,85263.0452889322,72208.8195269707
"P17742","Ppia","Peptidyl-prolyl cis-trans isomerase A;Peptidyl-prolyl cis-trans isomerase A, N-terminally processed","L",10927948.4747003,11111545.8036788,11644449.670153,11916731.7963306,9889182.18603018,12052729.2579097,10808595.4223255,11205343.7715105,10823289.5303076,13124430.403588,13691721.2628355,12208181.0915641,9721891.67135767,10424169.0200419,11120356.9502509,10129086.6798401
"P17742","Ppia","Peptidyl-prolyl cis-trans isomerase A;Peptidyl-prolyl cis-trans isomerase A, N-terminally processed","H",360798.433813728,495908.620340492,418783.706933158,407583.998867808,310605.576964741,404181.208282328,409092.972706576,269912.15315642,255721.103926304,386884.029443431,336275.344277769,375780.33358923,284802.430868349,248973.395391536,264643.576867175,288644.766863275
"P17751","Tpi1","Triosephosphate isomerase","L",163763.114315207,157113.406249442,152796.60850875,152318.618028696,155261.81398822,149328.300289917,164984.542102887,183400.078248903,134426.976059685,126622.371130041,197280.485277536,142239.515791978,176461.422421963,147207.652516066,210717.262082213,168772.533093899
"P17751","Tpi1","Triosephosphate isomerase","H",31099.864781516,45550.7256204398,32368.0270280224,45147.3205767296,27336.7416357891,27182.2147020486,35739.5991038989,19300.2223969214,32340.402936098,31474.0795666869,46054.9400159525,43305.5468915673,31161.3615276517,28494.9772742785,27539.6651390947,30521.4683188261
"P17918","Pcna","Proliferating cell nuclear antigen","L",505822.408923508,546867.430436568,513871.043844663,544313.962647675,450836.505637275,486857.240137965,459861.123010265,552517.05784228,330305.691869133,419862.432292203,632416.065329956,551835.080769626,443100.663918067,378201.025760846,517858.646485929,367009.35081713
"P17918","Pcna","Proliferating cell nuclear antigen","H",55302.9661787686,65790.8242467753,47539.5177411648,45108.0920879069,37755.0696099769,25077.2566315676,40088.829565881,48379.9722824075,25186.9230121079,24019.0353385672,21415.3283507329,41847.611796061,23853.9802529733,21743.9800773958,27283.5291103386,24099.0278186728
"P18242","Ctsd","Cathepsin D","H",250677.68399809,306596.695563434,275558.897821442,338921.440869805,250083.90770499,277072.755100265,257759.041062262,235283.702457947,311252.647318286,227912.46660646,300646.252759873,320312.151498483,327527.976878069,260929.766742858,325479.513971181,311141.754783253
"P18242","Ctsd","Cathepsin D","L",1766851.05330642,2440702.03622153,2288740.49947594,2034479.09546231,1991765.65795746,2266515.69230107,2410842.53244974,2391368.68868766,1627921.87196793,1559593.79625615,2266939.3848024,2014875.16481702,2332301.43014488,2351718.66091016,2720631.51901738,2760750.9081028
"P18406","Cyr61","Protein CYR61","L",2227592.72074684,2635013.72752259,1662923.80275416,1890388.09255719,2446774.35769141,1817874.97744947,2118925.66820353,2215027.13780266,2542824.90719049,2457905.71791856,2418239.78289492,2309160.91483974,2712673.80534741,2791150.79187793,2821029.38005903,2802546.15948489
"P18406","Cyr61","Protein CYR61","H",319114.64243231,336478.869361335,384951.483889619,396925.992059337,396713.071179478,406058.61687434,432408.083461827,430579.038286362,603678.678502849,528395.165127566,651640.307700871,676168.317484042,343197.559205395,393998.435613517,605564.66477984,503835.696935235
"P18654","Rps6ka3;Rps6ka2;Rps6ka1","Ribosomal protein S6 kinase alpha-3;Ribosomal protein S6 kinase alpha-2;Ribosomal protein S6 kinase alpha-1","L",62645.6941165555,87233.8742172304,84111.0866331668,78301.9317133779,72528.4567994736,72554.1762887655,74011.582754331,71904.7767926567,68236.3019781225,60322.7186936118,79986.9552158435,74453.9535368977,50291.014522731,67967.4886153046,118215.852957015,78294.0719835705
"P18654","Rps6ka3;Rps6ka2;Rps6ka1","Ribosomal protein S6 kinase alpha-3;Ribosomal protein S6 kinase alpha-2;Ribosomal protein S6 kinase alpha-1","H",40897.638791589,38587.317931777,48991.01005446,39730.053072643,34467.2041562852,38664.1841611652,40199.5825018228,34277.2166971489,38916.6717464184,37908.6970628705,37177.2230668612,33437.6749442317,39592.284034293,28601.9540266909,36845.2685775263,33007.7342752629
"P18760","Cfl1;Cfl2","Cofilin-1;Cofilin-2","H",95117.0679772491,102913.150881716,141023.672588089,128043.655540556,115845.251153904,115337.992448076,104334.243317169,8484.00707399134,97820.1850536072,66705.3266723675,75014.5206529712,90711.0377052088,100134.794186137,53098.6751795558,92771.6628878227,82109.2555234238
"P18760","Cfl1;Cfl2","Cofilin-1;Cofilin-2","L",862480.543678771,972956.776877436,985597.744236418,1017701.88349228,1021087.99638037,1004598.34483346,1101838.64957409,949333.648563039,771591.464040712,817900.838919368,1120322.41562948,887073.297028255,987426.720588985,844767.141373315,1217511.35199587,1071071.86997029
"P19096","Fasn","Fatty acid synthase;[Acyl-carrier-protein] S-acetyltransferase;[Acyl-carrier-protein] S-malonyltransferase;3-oxoacyl-[acyl-carrier-protein] synthase;3-oxoacyl-[acyl-carrier-protein] reductase;3-hydroxyacyl-[acyl-carrier-protein] dehydratase;Enoyl-[acyl-carrier-protein] reductase;Oleoyl-[acyl-carrier-protein] hydrolase","H",279115.991985675,286835.676732509,270484.837907175,279849.781383132,234409.49769656,216533.893484662,235264.74644799,162153.362448095,211415.746738085,202627.623632732,190524.993508272,243375.897283473,201043.741005598,206639.160408521,198340.950686438,192795.197738002
"P19096","Fasn","Fatty acid synthase;[Acyl-carrier-protein] S-acetyltransferase;[Acyl-carrier-protein] S-malonyltransferase;3-oxoacyl-[acyl-carrier-protein] synthase;3-oxoacyl-[acyl-carrier-protein] reductase;3-hydroxyacyl-[acyl-carrier-protein] dehydratase;Enoyl-[acyl-carrier-protein] reductase;Oleoyl-[acyl-carrier-protein] hydrolase","L",2659952.33000016,2579463.91111568,2628885.88727113,2767611.73016259,2333629.5508366,2340865.85426045,2278649.86895028,2241815.9478506,2500740.93194709,2337351.17236399,2317887.7216398,2543565.50378841,2316615.23467876,2064793.92539092,2283098.34124085,2272023.18922596
"P19182","Ifrd1","Interferon-related developmental regulator 1","L",89839.4472559037,116185.419204153,74212.2612383375,80879.8038360122,73321.8310708246,73271.4336455854,70059.3206807244,66958.9024890284,74142.0939652035,78320.0921043731,70073.4729188241,76238.0406780856,61860.2167617576,66119.2741874653,57292.7892668498,64930.5164339155
"P19182","Ifrd1","Interferon-related developmental regulator 1","H",61269.7029815635,75688.6371443475,59176.6120935105,53256.4096233639,60548.5953559072,50005.7116203451,52062.5907976956,47375.4122683128,80485.1985015998,79443.4976808164,80645.1275030484,82802.7368801617,53295.1237973189,54207.6038362594,67487.8099389936,62327.2263917749
"P19253","Rpl13a","60S ribosomal protein L13a","H",40132.3277612962,27858.0533698869,33752.8563494591,26393.3008845651,23469.8300339945,24432.7281675721,25305.1792401735,5081.86095922989,30749.704445105,16317.4659978392,20548.8616547159,37887.2574044076,18611.5150483003,17823.0910715663,20991.0534432587,18129.807718237
"P19253","Rpl13a","60S ribosomal protein L13a","L",161603.771875269,250575.096676252,331113.82276859,246126.076955063,171769.131900818,351006.356056267,257807.324364672,227031.830198023,330246.001815008,254437.42451374,234724.87683497,284147.650470151,148748.677986399,239557.244335222,222622.242848695,235142.049090156
"P19324","Serpinh1","Serpin H1","H",141536.823634854,159375.463377139,125360.510865183,166273.779322714,160067.446748308,107376.017805232,133087.945434666,168726.442972752,152512.855202294,137853.722399568,130489.599085346,147402.024082443,140245.434330555,137447.838642627,108949.073286722,160309.212373661
"P19324","Serpinh1","Serpin H1","L",1190124.42627431,1265942.8740529,1633955.9656486,1377772.80370386,1549077.49331844,1732079.71205595,1704499.5060861,1567489.29123258,1790159.95722131,1619201.69614223,1720693.67017034,1501873.71415392,1609520.37439614,1789953.64678102,1750633.0839308,1628217.29411018
"P19788","Mgp","Matrix Gla protein","L",368862.772737618,341199.237167815,271645.025523972,321304.393545352,339384.080471623,353012.670341078,358517.706729527,344392.133120344,444784.168937536,434545.447195352,402989.570518589,401967.329496175,376789.042244276,400231.550710775,381144.931886823,374124.712746785
"P19788","Mgp","Matrix Gla protein","H",502891.144420951,475564.258559974,452286.136835844,404489.805111336,401173.07732737,449170.465419217,317645.144589982,386957.24143648,492283.46216425,512914.428246108,392061.437649329,464701.257430668,368634.750860379,355532.5564097,382179.862620337,344802.1462687
"P20029","Hspa5","78 kDa glucose-regulated protein","L",1500323.4753322,1740460.96297886,1853395.56711824,1471528.23818195,1557126.86515391,1647550.26378329,1729410.82797543,1747530.33799652,1615022.91344875,1606415.98843485,1946417.28008496,1796479.41224319,1860704.70629739,1612925.36489538,2201555.11714434,1918372.76258153
"P20029","Hspa5","78 kDa glucose-regulated protein","H",198623.872130507,384733.803067664,215606.089522162,229348.14568676,198601.031747142,216991.667527313,549136.824725889,371855.084388551,198782.129162633,278296.166519594,217814.319299105,334976.142454531,246593.847856138,216577.491737548,406014.933551394,357455.524294859
"P20060","Hexb","Beta-hexosaminidase subunit beta","L",719043.440430046,715246.564475994,624266.090375315,682914.378135074,691427.028289875,679641.973451176,607548.794232074,772878.519045813,1065099.17019915,874828.168277215,757312.816871297,737682.18860852,763410.27016663,802834.642301592,1003587.34750639,906304.932487893
"P20060","Hexb","Beta-hexosaminidase subunit beta","H",56498.330464444,46472.1664482668,46759.548158498,52845.4445023643,39991.5565599204,44340.716044324,44215.8075069733,32980.8184238244,78409.8292065433,56709.8255559631,41498.6282238534,48214.401063896,46923.9905220518,39701.5562091377,52252.5565939013,35064.9780327548
"P20152","Vim;Des","Vimentin;Desmin","L",48748650.4368395,70493181.2844035,91639404.1240118,93937575.2471355,85717345.5997251,66413550.2806867,85288025.0841142,95960727.4053088,75014829.9150725,76717212.0661958,66129657.2748921,54697409.1448452,73940611.9901471,69319839.720129,75125266.6729702,75538362.6515912
"P20152","Vim;Des","Vimentin;Desmin","H",1804797.79619098,2578278.93770249,2271394.71352684,2947559.08495051,2233988.74854314,1648246.88954155,1826878.15282536,1967436.55251186,2020277.76891942,1776860.63237645,1380206.0137433,1402453.42419235,1563183.79959139,1513765.57570868,1324929.86124934,1502854.82577353
"P20664","Prim1","DNA primase small subunit","H",18417.8878549371,17795.4980547837,13839.4886682727,11807.7751356314,12703.8942632783,11826.3867446759,9350.03662350469,8374.68198416915,8930.91709125481,4043.94801809137,6274.79773175919,7556.35795184016,3140.24320249952,4479.07841752427,2947.58114981962,4365.99012629322
"P20664","Prim1","DNA primase small subunit","L",11676.8759102208,9832.91101898775,12120.0865952446,8759.44135061636,9395.31642792819,10572.440316669,10411.7715105328,9987.67956355735,7600.63718709341,8799.6982917014,8747.3189424789,9911.29980124426,4874.75088496947,8225.07953615105,5968.17115193037,7635.62324626781
"P21107-2","Tpm3;Tpm1;Tpm2","Tropomyosin alpha-3 chain;Tropomyosin alpha-1 chain;Tropomyosin beta chain","L",751013.272245119,729300.308910586,555810.870269718,655433.327296154,678042.327046868,608690.675083117,584364.844818937,820987.984131632,499077.247335,600065.0082765,873409.842977349,647668.832670596,815491.314943391,726582.281786734,905733.300425929,805086.040460848
"P21107-2","Tpm3;Tpm1;Tpm2","Tropomyosin alpha-3 chain;Tropomyosin alpha-1 chain;Tropomyosin beta chain","H",19825.0292778385,23945.6973669759,14928.233682474,15206.3632851348,18313.7077547128,19317.2119163036,14988.9788024534,18040.1873860891,16841.1964341194,9960.86277779739,17397.5289391144,15666.5539834261,20312.5346571574,15237.214626869,18027.1360585342,18004.9489691682
"P21126","Ubl4a","Ubiquitin-like protein 4A","H",12493.7305823781,9608.57386115516,8798.38291224526,9584.82743567865,8993.22606225485,8493.39713903351,6808.07008138999,7847.87623263356,12247.8602378154,4737.13086637083,5983.6611174334,8816.38611310538,9108.86510437413,8740.76479175333,6573.7210939306,5111.27487550032
"P21126","Ubl4a","Ubiquitin-like protein 4A","L",53951.6263507553,49564.2489468682,44377.427900936,42319.1333349409,41327.5051768888,48435.7706924805,39888.4787491774,38888.2376627455,54649.5606651521,54187.676017813,53447.9648547448,46177.1029459384,38805.805171919,42966.4484867812,40436.2150279224,35884.7416704057
"P21279","Gnaq","Guanine nucleotide-binding protein G(q) subunit alpha","H",6588.62204702987,15484.6815941128,4579.49598221523,8771.30329842703,3036.34509729181,5869.80682592891,6182.37821406964,8589.44062502019,6468.80598718293,6725.97481281493,6342.13674611484,6010.14909614394,4591.57486184564,4489.680577808,8830.8442166269,6347.66409284763
"P21279","Gnaq","Guanine nucleotide-binding protein G(q) subunit alpha","L",79601.3112620752,67345.3735021358,95749.4387778117,86303.6094215692,46493.8935931664,90994.7124590352,108295.21629585,88207.6093096848,36085.5393181494,60912.5066212445,40179.8963482283,46281.6843084124,77203.6448867952,106623.347069611,84346.4009970451,84674.8598430496
"P21460","Cst3","Cystatin-C","L",50279.7021248851,44132.1717835782,61346.3038096579,53928.8980031816,52688.6967857014,59139.4574019475,66999.3041697046,62706.2650960277,63652.8104956064,55759.4036344851,65425.3689194445,65943.8667362586,69302.8593109636,68346.6829966236,102313.23416377,106124.978060748
"P21460","Cst3","Cystatin-C","H",15514.6362012203,13785.2916897821,7529.2704823364,7674.86703583268,7669.3446589483,7818.60676790872,13671.1433062477,11725.2968852346,13471.7136045012,12562.3788395425,8032.46014036437,6863.37348303993,11637.9236930205,13173.4229399272,10317.0382291497,8848.80599238231
"P21956-2","Mfge8","Lactadherin","H",37872.2511169324,56477.5705179863,30358.2007131053,40074.6099661357,40172.6548186816,36285.9493658073,49648.7990016708,37019.2130311164,32210.0381998329,28582.0383405893,26673.5732782078,39483.3639779622,34460.2094827021,37537.1872719368,38329.6474528375,38872.7236010591
"P21956-2","Mfge8","Lactadherin","L",790308.576083094,1035346.27831179,788499.263410146,838173.703787665,952820.616811031,883032.000477469,921366.080917057,971576.118640161,779131.613233721,667267.525131671,853656.142850482,827753.135198424,965899.997829597,996227.406342647,1157534.57983871,1175684.95634751
"P22315","Fech","Ferrochelatase, mitochondrial","H",57870.8480061799,65961.205498732,69769.7388375069,60313.2411579114,56290.5799561015,58354.2361487296,62987.185734089,54361.8104131836,56742.3395593282,62467.6952113745,73043.713143842,63600.357934108,66974.7291639945,62281.2921647554,60835.4328992245,69166.0941257167
"P22315","Fech","Ferrochelatase, mitochondrial","L",942775.6771809,1085941.88113163,930225.073393426,989011.100778997,898461.241309995,1041321.75430978,1048356.92789833,993725.8795931,1247719.75087901,1206576.28418109,1242359.92218556,1171206.32383331,1171621.70638206,1233311.76842791,1193171.97544284,1219548.45968498
"P22437","Ptgs1","Prostaglandin G/H synthase 1","L",293489.496776573,430408.914741609,304032.296774172,270401.973454841,271626.675760251,274759.725519163,294380.059318156,258925.796137409,209783.596820617,227534.357414759,235315.614996217,212345.366241609,221873.213711131,224275.806283026,228734.515727039,242832.911671794
"P22437","Ptgs1","Prostaglandin G/H synthase 1","H",25459.1975392119,48568.0548650192,25764.6174571388,28339.7811394817,37659.6125466816,29573.9085224004,32207.9493038688,15282.8873495644,17931.887093253,20131.8440060036,25752.4174109275,30292.2575254161,19431.8092293061,17581.4382290632,23755.1040527885,23611.0968850602
"P23116","Eif3a","Eukaryotic translation initiation factor 3 subunit A","L",5703624.77545398,5610989.06509638,5198122.63503778,5180815.26587632,4854548.33633908,4910943.00039272,4973236.02252163,4874770.38741904,5461221.21008692,6666406.06569356,6132168.5633274,6640226.45736368,5940128.75442586,5714637.93944728,5494046.98613147,6013221.15666052
"P23116","Eif3a","Eukaryotic translation initiation factor 3 subunit A","H",724204.639751615,717741.803991995,512157.301836981,602667.740788893,535392.732519629,508945.22223945,566385.536746057,475652.370056068,589404.879796049,612863.19826806,543866.212568294,701353.991159435,583912.668458215,580278.009738808,561019.684991418,562899.141411321
"P23249","Mov10","Putative helicase MOV-10","L",1886428.94089024,1611869.66577695,1910129.79812513,1755535.02516516,1674690.52355479,1911464.02147162,1890854.3871657,1717313.35377435,2191156.08277304,2197353.22238371,2044497.41049839,1859244.89184298,1777387.36088363,2025475.3841614,1828768.28707147,1860083.85887608
"P23249","Mov10","Putative helicase MOV-10","H",112977.276037491,114809.444095473,112450.153368341,120812.163829584,107232.412483498,90421.2409592934,96347.4633377562,77952.2823780478,96826.0762181612,109827.769819318,91762.722683885,104151.603976858,92091.0025369943,101142.698807626,83324.8821107067,85765.5838255818
"P23492","Pnp","Purine nucleoside phosphorylase","H",11471.8218567163,9128.83067345894,14714.912108527,7399.8006082545,6594.73226620923,12266.1039587637,12456.5942559202,12630.3059069415,7983.85562485837,8800.21838687568,14424.625589235,11444.5689290412,9842.98476370517,9731.06387122814,12602.0942967143,12833.9719753681
"P23492","Pnp","Purine nucleoside phosphorylase","L",9048.15017513031,10652.4216221692,8955.73272887717,10077.0515692396,7407.73827321906,9101.1431744742,12818.7190239994,10651.9561854902,9510.92617621168,8113.79677586184,14125.0240423136,12443.4095689412,12866.1833310691,6799.42328034077,13645.7981934174,12210.1740947942
"P23881","Tcea3","Transcription elongation factor A protein 3","H",5479.31323298913,5841.61133411893,8555.37744003674,5834.21029957348,6922.52821941213,7476.61377877697,4838.65888564381,5114.38698347004,8139.40210270727,9192.05809117771,6025.89066880898,7387.87560432907,5514.40581547722,4342.2054834109,6376.87954742195,6888.35503798098
"P23881","Tcea3","Transcription elongation factor A protein 3","L",36481.693300544,33000.4492352363,43944.7473500057,37926.4765984376,35673.0249841387,45579.2807294807,39737.9045328971,34231.0612370418,50130.3188936728,50455.4730471847,50429.122601004,52919.9419773133,38797.0786380785,41144.978247045,34794.1635283532,43557.7531203263
"P23949","Zfp36l2","Zinc finger protein 36, C3H1 type-like 2","H",17421.7509502076,21969.3411835074,17304.7064526126,20019.6054625157,9913.12596938882,16017.075707075,16631.6066164209,11678.2364161058,20456.2789656042,21965.6995905125,14516.8838433663,15621.6194488716,17746.4973813619,22027.6595012037,16493.5467965959,18128.8159886971
"P23949","Zfp36l2","Zinc finger protein 36, C3H1 type-like 2","L",58382.1385231968,77503.0150448073,53031.0389195415,42990.6877031199,52227.6211592182,44367.1325157407,48212.3707549566,50725.7556666718,70607.3235725147,75240.088482291,52595.7648990574,59101.7640388066,36980.868782527,55121.6819796404,37617.7103020429,57261.4719021543
"P23950","Zfp36l1","Zinc finger protein 36, C3H1 type-like 1","L",26456.4549578949,26426.2316873181,20732.190467976,16110.7667548257,24723.3793934957,23234.7913466828,23862.9022429097,25018.0693960656,42633.8284155989,29830.5788159642,27647.0405266967,21632.3889429286,30473.0561709833,34078.7816903758,30900.6942093475,22542.0124410878
"P23950","Zfp36l1","Zinc finger protein 36, C3H1 type-like 1","H",43993.6188453209,27708.7901056809,35424.4623151171,24104.9723699079,37845.1234432744,31354.5124501703,28136.2233892463,29145.8155440707,43272.1803833198,41605.5335616479,38716.1287904127,36722.2387521018,29288.4292021371,43832.7691514066,27588.0687980723,38869.8475853935
"P24369","Ppib","Peptidyl-prolyl cis-trans isomerase B","H",88686.0686280688,77314.1693742414,81119.1760910219,78944.9053254146,60902.5969745997,82801.6772877236,93062.0832683201,57384.6491467672,96115.3396969576,84187.3897844529,88678.7289826392,105078.832971945,76313.4402615598,81413.0336691809,86012.1927525658,80581.3969943107
"P24369","Ppib","Peptidyl-prolyl cis-trans isomerase B","L",1327678.60716397,1409464.80972526,1450602.67680193,1334598.11570793,1432568.90562847,1576721.01620089,1536702.7105008,1406783.1287111,1654999.60179871,1578487.70972833,1629552.31158361,1654681.44250871,1532057.76961763,1562115.99221745,1550704.4932299,1612857.68451564
"P24547","Impdh2","Inosine-5-monophosphate dehydrogenase 2","L",746528.975402906,674748.455631619,598055.082431184,634180.826470639,478342.548479663,505055.346665487,387541.695787322,395731.484903733,541668.588038462,655446.822814458,484093.326167432,599248.548127863,428870.959674421,458414.487078645,324550.567082637,378365.645778102
"P24547","Impdh2","Inosine-5-monophosphate dehydrogenase 2","H",111352.306702014,114780.133212998,68373.2120476875,81310.9436084064,52841.6982484738,50252.9062595196,36559.7930373731,39643.6486931643,63289.695999682,47724.3492680091,40803.6382354379,72759.3809517256,52415.3801045247,52335.2241241698,25953.0335341936,45764.9463842456
"P25206","Mcm3","DNA replication licensing factor MCM3","H",87794.957496208,85670.4797313986,59733.6883028332,85306.0849915063,63571.7025397043,49999.0239060624,59886.7257352254,15729.3282999724,46662.9070690066,35702.7653906823,39781.3787350219,31948.7199530764,22567.3619198664,32467.253327249,21332.7026028752,28744.7848481614
"P25206","Mcm3","DNA replication licensing factor MCM3","L",336104.883458995,275813.082215109,356514.938251256,340611.62833108,316487.893355733,363184.68376507,313414.631320009,309984.595124069,334524.410798665,325137.498200712,316806.284642799,325505.059286683,247065.62609189,290527.846261431,213653.75072685,246876.193005816
"P25322","Ccnd1","G1/S-specific cyclin-D1","L",63746.0388189676,67835.1781394933,59431.9439302513,62717.0135111041,64985.547722475,62630.4442575188,59430.7720753483,65225.8102124597,40984.0616418784,59865.034940246,54287.8003021465,63564.1975986085,43557.4028480646,55738.7086051619,39330.9981479353,44043.7005948592
"P25322","Ccnd1","G1/S-specific cyclin-D1","H",39804.0171728983,56828.3944715609,44454.1532311881,38497.157709644,45300.6803019745,31382.0992715864,42820.3205141073,38351.5673128733,20083.2161273257,35245.8097705605,31772.0307139914,33240.0338948105,26889.723212733,22786.0482638416,22443.1632125849,25547.9446764128
"P25444","Rps2","40S ribosomal protein S2","L",20978298.745204,19589402.0550627,17725244.4527772,19045915.2815493,17585123.2090238,19645014.8631125,18860904.1806899,17122950.5159872,20902956.1590117,20999809.9449343,19472492.8404304,20685524.3361697,17345235.8766869,16628415.9153287,16793501.3166397,19108467.6809379
"P25444","Rps2","40S ribosomal protein S2","H",284951.292501716,287708.258718519,222138.572185293,279445.074140111,180428.528403039,191058.801449702,211740.947295463,63884.4963413879,188361.292361004,177847.481016125,179106.940776095,244969.256380556,168010.428887489,166523.164798743,132932.178741486,157057.926250174
"P25976","Ubtf","Nucleolar transcription factor 1","L",448630.70442459,390339.467878957,397396.709794211,371996.287412514,400677.511082734,431524.847687875,346699.124049532,320716.101602568,407470.941995752,449205.057815659,492084.412760841,479994.775011846,468249.661792968,431525.593814915,472799.680343739,387710.812405186
"P25976","Ubtf","Nucleolar transcription factor 1","H",49852.338102991,49629.3719562144,57166.4084409036,38284.7634630183,41074.0936899896,47950.5770212703,34607.1814442698,34222.1921486291,40307.4707332339,47533.2663009789,57097.8725890642,54216.4849871712,62307.6697844286,53079.1901282236,31672.0266833458,50863.8246404976
"P26039","Tln1","Talin-1","L",10129616.3464012,9845461.07424219,9970593.38829254,9757799.39540679,9193019.60487328,9532008.50485844,8881654.74203397,8627157.78100885,9546481.55178521,9729708.92203627,9359328.90866904,10657925.2916532,9815767.6318509,9054474.40474758,9694461.36228323,9552486.00145194
"P26039","Tln1","Talin-1","H",1306838.98611658,1222140.85049667,1099549.91543471,1118114.96227069,1042723.09663091,968291.579956943,962384.401386791,873430.632413384,938777.720063885,1004348.50971834,937516.013974317,1156906.1873904,1043278.06431153,943312.788486215,1008370.31473188,993493.727541542
"P26040","Ezr","Ezrin","H",345129.771764449,426489.924815844,355946.277774857,290124.25499243,375437.70897681,321767.585615858,352443.85394853,321953.864341376,318080.940801577,359524.287575722,316937.49109803,436609.63993087,415970.666504203,380714.597382707,409327.256439801,397365.23997198
"P26040","Ezr","Ezrin","L",6144359.33009911,6286335.48042094,5803169.03018493,5437253.01812425,6016908.41878565,5786121.11640944,5984519.21398322,5629918.40411591,6506894.87394263,6499554.39524444,5401089.14323934,5886624.50379496,6571245.02245854,7055377.29088705,6241421.90777331,6646185.19667953
"P26041","Msn;Ezr;Rdx","Moesin;Ezrin;Radixin","H",846347.271723781,794467.21271298,600636.701125325,713257.707640593,611793.594204729,522915.222043161,617993.169415884,555721.332784535,574818.744590756,638364.920929463,519033.143904205,706860.288521965,632873.868305329,693058.537514455,630956.014187982,702177.737162646
"P26041","Msn;Ezr;Rdx","Moesin;Ezrin;Radixin","L",15613419.9270079,15099028.6610338,11789462.934135,12767370.1002586,12836377.9507261,12321649.7728958,13362765.8180075,13509514.3884522,14005033.046219,15090785.5387153,13188652.3160253,13567599.5687089,13738874.5664585,14002136.7868767,12940146.5602639,13057668.8705305
"P26187","Mgmt","Methylated-DNA--protein-cysteine methyltransferase","H",10295.9545138331,10559.7678329806,12638.2970225215,8720.1194606298,10261.6343042501,8203.15033916418,9032.46191280431,10493.5796066915,6459.37578765977,9393.95903783294,7264.14861781498,7974.68340173619,9354.95335867589,9017.66265357793,7736.01395512872,6515.56390394644
"P26187","Mgmt","Methylated-DNA--protein-cysteine methyltransferase","L",14859.1355383781,15619.5713588027,13862.1289296586,14533.2210971701,12173.4771851561,15581.5383144139,12547.4365516926,12422.1538319489,11604.326841785,12333.5369628596,14399.8965726637,14532.3779702229,12139.6993888485,12517.2351818261,11832.6778008838,11636.9544207534
"P26231","Ctnna1;Ctnna2","Catenin alpha-1;Catenin alpha-2","L",1041761.31958287,1148413.97490551,994000.551470559,974229.245783622,1008283.87220063,1081484.48804884,1008507.64822198,979150.70929851,1093777.13234901,929353.802139274,1027647.38245731,920339.564891957,954448.167470725,978720.469780442,1004488.15976816,987690.522966079
"P26231","Ctnna1;Ctnna2","Catenin alpha-1;Catenin alpha-2","H",724221.335409523,774840.088558317,703047.156361324,701936.645969855,728125.946542939,683007.649260375,547505.147764014,534420.497444229,658480.573160298,575425.603414052,579632.359904957,709392.398289662,571867.695594205,609935.499560953,638525.640565375,583531.082758632
"P26369","U2af2","Splicing factor U2AF 65 kDa subunit","H",26206.5803462474,32358.064372246,15823.0271241362,30044.3523799917,19612.8243538626,19662.7159554338,26441.3301448344,21716.5964848788,27391.1026149367,21147.0697861968,22090.6207263333,23834.8015340125,26344.3148477025,26121.4305801283,12542.5981325544,21124.8309286235
"P26369","U2af2","Splicing factor U2AF 65 kDa subunit","L",256017.269141068,209922.749125529,188356.912392182,206952.694819047,215168.325512716,208819.698655992,166105.760027421,207800.026483143,264672.539473664,224116.291929396,273127.232449734,225736.212051946,164222.458710679,233833.988081159,182562.467110279,220992.052015389
