"Leading.razor.protein","Gene.names","Protein.names","t1.1","t1.2","t2.1","t2.2","t3.1","t3.2","t4.1","t4.2","t5.1","t5.2","t6.1","t6.2","t7.1","t7.2","t8.1","t8.2"
"P55264","Adk","Adenosine kinase",73323.079819111,74856.5014971272,67279.6828087023,75750.845575733,63918.1517440565,64389.9365184049,75400.5501258122,86800.7894002115,54228.7321106634,57973.4604585527,96581.6654147956,69219.744791061,77961.0723861786,62711.6569140781,97233.9841192207,71005.7851508806
"P55302","Lrpap1","Alpha-2-macroglobulin receptor-associated protein",166060.826275154,207310.736389912,159258.776250928,182788.067188502,164243.701007599,182992.332161311,139141.086825127,141513.777882,216901.124927784,169955.864712413,225761.455111241,226705.978772823,177852.699723855,183406.594928006,252573.262744233,213119.158007835
"P55937","Golga3","Golgin subfamily A member 3",3089805.11991491,3056331.15173777,2761207.260221,2797352.41988761,2922555.56358821,2829998.36649537,2821315.65230657,2813171.84865955,2795233.78594952,2639549.75249085,2687905.79871704,2683444.85285472,2816074.10065416,2763219.92944499,2863340.7141844,2729136.54315873
"P56183","Rrp1","Ribosomal RNA processing protein 1 homolog A",416487.511717171,386448.454191536,347397.095892862,369602.699210482,385379.146714005,400221.614689622,311670.714109526,339293.943370109,286728.23482755,364274.878156184,362793.103269994,379172.755893696,315350.085653481,321506.878443757,281818.483491057,295742.910254077
"P56212","Arpp19","cAMP-regulated phosphoprotein 19",484169.859810099,527157.915628272,685416.499482515,655952.258633245,653825.438078023,659848.636370766,623979.847305388,510009.784201599,510790.440576434,552568.95975081,468971.380924983,544902.240342233,411940.37043418,457642.14484042,461524.120368946,444798.61853665
"P56213","Gfer","FAD-linked sulfhydryl oxidase ALR",6436.23255522137,14989.2733733405,15123.0052676992,10989.6677362063,11980.6446928639,12354.3726783798,10711.2828536388,12538.9565179538,14585.341892633,6648.44759106858,17955.794573966,12523.6247663749,13688.4672279169,12689.6839461157,16821.5251416263,12883.612391837
"P56371","Rab4a","Ras-related protein Rab-4A",31293.0096303362,36613.9443733786,31800.7182060848,31567.1827906353,33123.0641225944,33018.2477313391,29430.6848639535,29893.4218586045,36647.3170161583,24640.8920027803,27366.381841798,22889.3799374559,32065.5633755582,29774.1367440883,32848.709669378,33177.6523503282
"P56376","Acyp1","Acylphosphatase-1",4112.81489764496,4517.81816618338,5349.8752955228,4560.17465140334,3878.83061237717,4064.72200065882,6328.5615314441,5817.77525825068,3701.06742458308,3934.44059628401,6376.25315245575,4488.28493032171,5690.83952643835,4220.75429867439,7304.36672965378,5085.8360833153
"P56387","Dynlt3","Dynein light chain Tctex-type 3",18460.607336507,17527.4633042345,11363.7624193597,18943.1966526567,23944.7127840286,21628.1625209847,16327.4725613051,20943.1370487937,17796.9935179198,18737.287416952,15758.7594189433,28263.0969532535,23270.9334582176,20394.2399619115,19823.1467499083,21074.7258278259
"P56389","Cda","Cytidine deaminase",14746.1635449066,13886.5644775015,15208.7740145387,19906.2926053704,13465.0982120751,16596.4539180786,18055.4092500688,16533.6011603769,12692.9409017828,12378.9613425517,20625.0756718644,19108.9167512039,15670.9981085317,13123.4868562304,22836.190511316,19795.606663751
"P56391","Cox6b1","Cytochrome c oxidase subunit 6B1",4556.77861752575,9430.12052988759,4828.36949943818,4109.42110998537,6798.47877188668,5364.74693836417,3325.36854674656,4197.58367173491,4905.22110414577,7804.73937629474,6496.88017816463,5365.07226466725,6830.6465108332,9637.2181934259,5694.14372188629,8482.54820183621
"P56395","Cyb5a","Cytochrome b5",1227779.0717112,1747444.27361852,1008013.56885491,1044632.3989862,928578.372906693,1047987.27197459,1149939.75720328,1051432.99315503,1019865.99742311,905361.838996793,968433.225060606,757057.880472557,1112200.25536155,994226.07712634,1169684.28832617,1091977.32337894
"P56399","Usp5","Ubiquitin carboxyl-terminal hydrolase 5",123753.137695198,131437.844049301,110602.974807738,129323.106061738,113070.507154072,119276.221441104,138895.46091483,151635.966801235,67335.1999288861,96135.4882515578,113899.89997817,132001.594970102,118619.076644476,115049.807230861,151231.070806352,144934.221854932
"P56480","Atp5b","ATP synthase subunit beta, mitochondrial",620717.932601618,743208.565968966,648700.980211398,684040.680718183,636225.702150076,629342.324842815,759473.785490904,838707.444996805,773440.676634374,706327.225612141,870232.657265976,833287.383261021,989979.62588152,828376.544859666,1062499.00378187,1003171.96029108
"P56528","Cd38","ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1",32707.0577772874,38906.7500432399,24354.6123174034,23664.5609244433,28450.5345186308,21604.3927260619,51562.5904645968,41076.4154934709,20795.6041306137,25460.3113781374,29232.22910721,30218.2078402166,34565.1590139946,37005.1340712616,41972.4049644628,55185.9674931321
"P56542","Dnase2","Deoxyribonuclease-2-alpha",1089883.42119241,1065039.54013268,1139226.36258056,1035249.62335814,1165594.57978188,1256272.05903538,1196818.27882734,1154081.71734589,1180086.64240783,1185642.24149652,1254595.88784776,1108524.8202384,1215944.36560599,1353837.9678859,1380758.26371174,1304662.82246294
"P56546","Ctbp2","C-terminal-binding protein 2",39925.2488010024,45419.2866195535,38582.6797027011,34231.4788085042,36803.6348112396,38729.6157451172,42932.9255734441,29701.3935297933,37170.7341204659,48779.1863287653,43827.4461714424,41753.9733183283,47209.3603160004,44702.4790150607,48820.687123688,45228.1804988339
"P56581","Tdg","G/T mismatch-specific thymine DNA glycosylase",389315.103841793,410680.910107929,464082.625847409,416433.721074233,370998.75636947,481178.749993893,464014.276002532,422577.407555885,394761.240966617,439793.427105296,453773.122024569,456650.159070083,456100.93577669,468545.570346943,449568.332264605,483103.227218077
"P56671","Maz","Myc-associated zinc finger protein",258401.781567216,178109.108421049,125056.400569585,174122.320731481,166280.268385679,142995.777639919,120302.38494425,146836.207337522,272763.543621913,275140.770934519,262090.900754262,251749.124231804,267251.848424295,238902.815249219,273117.708444606,206412.665168414
"P56695","Wfs1","Wolframin",20189.4025131348,40344.8211829318,20711.7604423639,21827.4804151203,24526.7775482393,19378.9130255898,23072.9904359411,22861.238196805,21752.7154925722,20195.9766645447,18779.7527263719,21718.4091025217,20379.5763463369,21817.2880909358,27124.6078441177,22986.4181240722
"P56812","Pdcd5","Programmed cell death protein 5",114427.86822362,129083.833080738,98376.6200611996,142432.922527182,125383.154807105,118185.510008874,126217.285709037,135371.433002769,155412.352973971,151141.034238467,178790.149589943,166984.28317322,153298.108522758,153904.20173916,164851.727903678,141148.244711152
"P56818","Bace1","Beta-secretase 1",109081.569986296,147139.902957385,111580.234779456,102673.650181929,130328.44485721,119324.283444025,134425.116803726,152057.878845812,129425.612287819,94890.298159567,139676.6732422,103761.812648685,168243.598458063,164361.584489679,214447.919108016,191070.221649381
"P56873","Sssca1","Sjoegren syndrome/scleroderma autoantigen 1 homolog",329443.312193437,278330.054174129,260749.451384782,278134.951437596,248946.556651537,256719.705848653,246449.83079536,213717.473147212,347905.006746721,223477.964961239,255773.608375393,249087.763373704,246818.570670368,226883.760998793,247741.491583348,248460.314268873
"P56959","Fus","RNA-binding protein FUS",7470046.47333576,5724103.76986561,6148045.35154408,6073826.0895565,6241163.24133527,6547638.18383943,5644094.68559999,5744381.19607329,8234233.97837699,6876235.31320592,6970938.92226807,6415801.59703518,5746093.30369429,6145131.57131678,6085006.67578982,5464488.99064728
"P56960","Exosc10","Exosome component 10",1887244.8577174,1788946.42112115,1565328.40002554,1825349.08063522,1734417.08805112,1716688.1979051,1660774.02539061,1761984.01420099,1902116.56434266,1902382.68126656,1954172.92984681,1772662.80311127,2016083.04560697,2035096.51802692,1862803.48450318,1896123.8011515
"P57080","Usp25","Ubiquitin carboxyl-terminal hydrolase 25",25688.8422776265,28930.6805011967,30380.0324875696,25200.6258322387,24774.578906595,28048.5321466934,27628.0044993789,26673.5318273828,14747.9391780898,22323.3980540486,24894.6939693067,27769.9968559475,29027.8753197018,23171.3566233606,30435.5293357285,29313.646542185
"P57716","Ncstn","Nicastrin",180321.609047512,298663.726932552,212942.057947424,190665.187413261,198134.468996388,242132.800893285,252317.776185678,267351.725414285,141345.860846167,200291.567924604,175147.362681316,205804.367671045,199099.801821323,255095.56206529,215598.450549631,294202.697477859
"P57722","Pcbp3","Poly(rC)-binding protein 3",70981.944239821,61933.681171034,80727.0822648841,68494.61814543,58075.653126982,69182.8152770859,73915.2996930764,60742.9057080339,72930.0588454497,68302.6457681418,70787.8196482868,73042.209242906,59274.3843887551,60121.9332420158,54326.1649303465,53704.8401214972
"P57724","Pcbp4","Poly(rC)-binding protein 4",99895.2225633128,111363.238061188,131560.24331679,145243.877041447,125049.739068382,128888.012543382,106461.622613097,91809.2753082847,130493.963740202,136314.14702414,122502.202210626,116843.853409795,78968.0276955711,97055.3361234159,81096.2852502603,90723.0437697034
"P57746","Atp6v1d","V-type proton ATPase subunit D",586591.861145179,619239.626479835,498613.759631012,481886.330210746,490233.593095197,469864.501748292,483043.06673794,476257.200138092,487281.329313057,495664.631863026,480381.596707157,541533.145060782,588451.289807342,487723.321439524,637878.357247656,591350.283380749
"P57759","Erp29","Endoplasmic reticulum resident protein 29",549926.484233469,638153.358831024,685989.572577704,561816.558003341,586645.369023463,596885.671167347,683711.249238501,731579.546185632,651678.146524628,744362.606565359,790304.798203342,782005.933669104,694738.668521693,662132.396166229,759668.367478238,728226.613417998
"P57776","Eef1b;Eef1d","Elongation factor 1-beta;Elongation factor 1-delta",6545221.58574394,6455686.48225209,6270355.56144979,6167029.71000363,6320541.62658376,6344006.59098789,6531033.31707067,6129527.46266053,5844580.33400973,5865275.55402396,5588768.7689788,5943593.76751411,6416061.50782643,6096291.59741985,5682164.58850406,6483411.60274244
"P57776-2","Eef1d","Elongation factor 1-delta",49529.8294588301,34825.6460414829,32855.9256633378,47130.8826739675,37194.6919149617,33881.9706823831,33959.5979612351,38407.5632753594,6167.73523260838,22886.0455652177,28751.8667287297,6244.91582415988,42486.1166335521,37883.271851907,41539.9662548912,7786.49818230914
"P57780","Actn4","Alpha-actinin-4",6516664.81006181,6758503.38566325,7116745.81442877,7513415.14100163,8169868.82899957,7170466.75771934,9911022.70975927,10547750.0238755,5950666.47617207,5153968.08977154,7335121.98845843,6182235.78120653,7691050.808313,6857458.00991237,10104559.8698933,8500070.39775221
"P57784","Snrpa1","U2 small nuclear ribonucleoprotein A",1443191.3519862,1078435.11086163,1181867.87920866,1211554.99045223,1171852.90621999,1320186.86086187,1282682.86447283,1125557.7591763,1641866.99296245,1519042.809323,1599446.6306441,1387269.93047746,1698856.21437578,1412689.42410114,1695162.54696163,1425206.62922869
"P58006","Sesn1","Sestrin-1",9187.92736504678,7191.93228389091,9200.45456824006,8694.327541949,10728.6403383892,10482.2183544537,14757.5917231538,12686.7727908232,3688.68485977301,9612.3723803597,6998.0467536543,7540.40600365897,7093.22267043598,13558.7130042391,9768.34558641554,9898.10275115545
"P58021","Tm9sf2","Transmembrane 9 superfamily member 2",30109.1816126571,51215.3777306581,32796.9347941824,29883.1121299149,41802.2337054454,37101.7766027062,40236.353029551,42404.6746848523,34762.5282577733,41109.0731569612,35209.4708219574,32244.9217163405,30232.3827951692,39358.220722802,44345.0065962178,41575.3650895034
"P58022","Loxl2","Lysyl oxidase homolog 2",277323.167721281,269777.393527268,292006.963108758,332120.194165914,342448.008758749,358952.636054667,363434.466565812,352126.729796327,434657.458798925,350290.530014946,415588.930907365,430369.329747242,393126.977308406,444550.348747965,427524.578674976,424647.900606842
"P58043","Sesn2","Sestrin-2",60205.7236888052,72734.4175068097,109623.461252256,67767.5807830447,41455.4436630791,82824.7620482115,123014.354421714,66961.3408637992,29810.7608895137,50895.2524684984,56732.6720750279,94099.9323251982,78442.8753763656,66145.1708922755,88203.970518633,64735.8456216707
"P58044","Idi1","Isopentenyl-diphosphate Delta-isomerase 1",314402.940865681,432894.323153253,447065.947397944,399244.075026127,356469.647535827,365042.492341448,403194.411051482,451135.264797556,263144.016203849,321848.084528065,466069.708550177,373965.90877093,388909.907134449,360167.807480988,482102.231362743,403203.292161814
"P58058","Nadk","NAD kinase",113637.332926781,92764.5975697375,127348.958077843,111559.576848763,115324.548244216,108957.866654581,108460.323869966,93472.4455672074,78843.1395279887,85739.8082361033,81478.0049707384,95444.8634955056,81688.7911793239,92799.8548201261,87435.2796521286,84901.833934757
"P58059","Mrps21","28S ribosomal protein S21, mitochondrial",359548.995362953,327399.136066777,329373.198063973,314509.33798741,331396.407242936,289616.231333464,347964.107549696,328259.335262051,346549.420389318,370232.29230399,378977.83561963,368955.358623328,376648.517071289,392173.201712884,401339.392828297,394138.57307327
"P58064","Mrps6","28S ribosomal protein S6, mitochondrial",43555.7299572213,44880.319628593,44747.9546300787,41696.1460702998,41306.2542477863,41442.2456382396,57564.7580960272,41040.8371222731,53267.7638842559,47250.0126929553,44708.7791272598,46691.5233452746,44362.6465429598,47793.8466035219,48373.2192652666,45854.8650518323
"P58069","Rasa2","Ras GTPase-activating protein 2",310660.735234963,304677.949899379,308258.046127586,295784.974288038,288752.628445545,293309.691775327,277400.013723399,266397.655812247,289235.704201588,289804.285771512,280681.736445011,285628.951760409,304306.790168914,312019.289994262,268269.505414312,296113.192096986
"P58137","Acot8","Acyl-coenzyme A thioesterase 8",16589.3916681432,15250.0856489494,13895.3323705107,14113.4744629289,16836.5529531249,14280.1614113626,16674.299035835,17121.2609769067,18421.6025657981,17709.0746651774,18016.6211948184,16959.4299448849,19134.0918931902,17373.9393856278,21118.9599637379,22123.0925334629
"P58242","Smpdl3b","Acid sphingomyelinase-like phosphodiesterase 3b",282617.779282523,294472.37456386,251228.192539337,217120.012840995,254573.276890811,306656.475158949,353378.080681183,285338.53700569,153878.741873314,141727.839077062,226185.468902306,206504.767154043,217075.539256011,302286.240449302,325721.733305417,309988.780563397
"P58252","Eef2;Eftud2","Elongation factor 2;116 kDa U5 small nuclear ribonucleoprotein component",23680054.3954549,25548289.0947856,30372514.6646917,27852479.6473683,27121719.4662553,30485094.5915883,28777588.0706703,26189539.6047194,22782935.0396159,26791269.4107399,23371579.9619342,24745327.2334852,18382168.0730536,22558099.9243624,22104080.222393,22503532.7443416
"P58281","Opa1","Dynamin-like 120 kDa protein, mitochondrial;Dynamin-like 120 kDa protein, form S1",109340.793337736,129343.519223896,101063.024473415,104956.095206556,117226.242363015,105301.932885288,132281.805648507,122584.756145623,118717.738620096,95705.0117557398,95346.1013556397,93361.4784730825,130043.242353157,108692.96261823,104018.8432703,114720.900221548
"P58283","Rnf216","E3 ubiquitin-protein ligase RNF216",22195.3646689256,18594.8116411179,21057.8843959931,21594.597500895,20171.7463779577,18887.0611152624,18978.1706798328,20635.4552946759,11876.8080850799,21919.9286387667,18354.2462574947,21692.2128869751,20364.1560626313,22688.3096821109,19446.7166683836,19733.4272599418
"P58389","Ppp2r4","Serine/threonine-protein phosphatase 2A activator",57020.7861945308,78928.3712127875,70883.6935047248,72316.4962191735,71088.756387043,64144.4894418935,70240.9955028177,73973.4108864148,71515.4015641158,63738.5514570858,96387.8971762825,84425.5127465363,93496.4151317616,77391.6916137972,103132.424071139,73105.3131421011
"P58404","Strn4","Striatin-4",300517.055774423,308995.879555543,298754.153133511,304260.661341921,301955.138217067,252016.682138911,250783.355751042,230501.640916477,255732.848172157,227432.353969282,250328.226423652,297581.760990023,272862.028005197,262056.239075115,278676.189049541,243072.264325631
"P58462","Foxp1","Forkhead box protein P1",671209.043953164,414968.65941441,448204.53745452,418402.640258138,336413.654814053,354377.168204126,256331.129289844,281994.454740074,615391.141845157,638132.608166143,526479.592415879,510780.796385569,451851.623191348,422904.608264528,303289.526315183,390736.571214136
"P58466","Ctdsp1;Ctdspl","Carboxy-terminal domain RNA polymerase II polypeptide A small phosphatase 1;CTD small phosphatase-like protein",10054.5255869493,13933.7494271907,13932.5827845167,6690.95708395599,6583.92480216628,12483.4087079611,10887.1348175395,14629.2569825621,7401.62736700181,6153.11318214484,12495.2059670112,8314.59149378022,11456.1924517619,13182.693552624,12700.0315553831,10868.221218291
"P58468","Fam207a","Protein FAM207A",546630.95079474,420807.093105665,404972.449316111,434328.36721722,363953.983203018,371268.698440863,341034.30103523,372491.798957466,558834.071414826,442796.532621274,412814.602608424,411833.49887148,393916.107631188,344257.336180576,296023.934789562,274851.329219172
"P58501","Paxbp1","PAX3- and PAX7-binding protein 1",85546.4144474098,82768.8207098051,71272.1318076447,63625.3443533276,75463.1897161316,72584.8562918178,63320.8384364458,61039.8665129642,106688.99037501,89507.0913717964,102435.201455846,97680.6231716915,91568.0169953441,86262.0692298945,71136.8690848009,76755.6333907651
"P58544","Btbd1","BTB/POZ domain-containing protein 1",80329.4457532947,76560.4525084568,70801.3714154089,77874.1218647693,75255.7938244177,83675.4246723747,71873.4922951315,70378.9517632236,76254.2700147886,81144.6148626119,68643.8678479651,73907.994166722,79252.7098562904,78727.4478186515,69199.0106321078,78076.172221904
"P58545","Btbd3","BTB/POZ domain-containing protein 3",27229.1729366638,20681.4224592347,21430.2559723026,17908.8885691468,19113.0101296579,24480.2767051931,28011.0823157923,16588.0597872236,26048.0445316057,29036.7035582229,14834.4186836582,24220.1476872244,20751.6041700041,22693.0538084245,26044.5130134455,21655.0003924274
"P58742","Aaas","Aladin",76811.4790426074,88166.486159811,59678.3447677039,93170.391327179,77366.1082430109,75564.8746106111,62095.6485392297,73621.1375737292,46642.7872215708,63487.2014689145,61283.7534324576,61127.8211294271,68032.9976993986,76778.5607290289,62891.8780258011,61657.8154234753
"P58771","Tpm1","Tropomyosin alpha-1 chain",173873.752632822,205625.028724285,204555.147118526,162909.297109358,220347.303643798,198244.443099135,247131.329658159,238190.079494476,145336.396097293,137338.165494468,146046.395929227,147204.394021149,179679.733757592,162302.254139476,182894.722069491,193191.30782876
"P58771-2","Tpm1;Tpm2","Tropomyosin alpha-1 chain;Tropomyosin beta chain",1738415.55670625,1878855.70986185,1869625.58709602,1760590.1161457,1871005.17793975,2053818.1596371,1784048.49307707,1873277.04920936,1656228.53522061,1535842.23641194,2012474.4063026,1477892.07069083,1581177.55936904,1601778.53352756,2138921.81261281,1807152.05076975
"P58774","Tpm4;Tpm2","Tropomyosin alpha-4 chain;Tropomyosin beta chain",180618.299596461,145763.881715733,153448.241920989,139815.01062694,157695.189854518,149997.070605282,141731.278158474,156560.772380251,214961.22360635,99821.85244519,150627.050965814,122707.17769416,141129.995000894,138214.901607488,160647.573998761,133327.612730925
"P58774-2","Tpm2","Tropomyosin beta chain",1727888.23345676,1679161.35633786,1576133.37972205,1787568.89926066,1707856.75705238,1700942.0583358,1582633.58566293,1833711.52854609,3224298.05037338,1336130.62508194,1885365.33390131,1524378.94920026,1572981.09627508,1518271.492307,2083697.28531968,1599466.614126
"P58801","Ripk2","Receptor-interacting serine/threonine-protein kinase 2",60748.7723466767,84805.6564735959,89632.7150510977,70051.5655294183,69248.0001165358,59063.1515968406,62789.6969574736,76760.0986699331,46688.6636092278,59865.0813911031,65061.1612212842,61582.9367141905,69252.1706195092,67923.5540821877,67423.7675699695,63771.3163144281
"P58802","Tbc1d10a","TBC1 domain family member 10A",333431.763080073,344623.331902007,375388.462152763,321402.76848109,325614.092992258,353608.17615739,339857.252920035,346032.486874956,401284.619699999,328167.945972611,378325.815292732,344473.947346385,358372.245855569,350320.329609344,391375.467918182,382946.579806894
"P58854","Tubgcp3","Gamma-tubulin complex component 3",1312202.14735137,1323910.58862294,1343900.28681991,1350455.78166866,1395028.49834348,1392995.74529411,1345715.45860323,1358160.29816822,1338440.15901349,1521680.50085536,1239620.41111084,1285293.30259756,1111528.34076176,1386163.30599639,984202.348379354,1203979.39673184
"P58871","Tnks1bp1","182 kDa tankyrase-1-binding protein",7499914.89434853,7427779.10397125,6488832.52717626,7750076.14746353,6926966.55465861,6747190.98436482,6092274.98185386,6048885.52650378,7404738.56760749,7312862.31356768,7469300.81212379,7229852.13869241,6659021.64314485,7464681.69836006,6593748.79488798,5833093.44682699
"P59016","Vps33b","Vacuolar protein sorting-associated protein 33B",706965.389913262,775259.309038394,985761.285063209,836725.330464565,807840.999096265,902532.408920725,786525.855035048,799252.644224698,852241.492149856,896166.951069721,761833.088441514,851846.179485746,668933.093325708,803029.152378789,710701.406658511,858160.108997496
"P59017","Bcl2l13","Bcl-2-like protein 13",99310.6439997687,86248.0069166009,79292.6099162741,82760.6212939156,66198.0937743558,87719.2501500244,83356.9946424214,88432.271189854,80876.925049826,67387.1671176959,88161.8430448973,74478.4604206089,103490.592153587,83415.9729718458,126967.251426361,86054.1989369737
"P59024","Fkbp14","Peptidyl-prolyl cis-trans isomerase FKBP14",18303.6288071846,15805.2689472017,17127.2366177254,14945.8865323707,16452.2771864615,18262.6904215189,19766.8680561582,22912.4710513297,15065.1155308067,18986.7960132686,20850.8431909793,16803.12585879,16456.5699043043,24364.8839213334,26141.7015093409,19557.0693040335
"P59048","Pdrg1","p53 and DNA damage-regulated protein 1",334303.326834176,303077.152620544,286797.565620076,274462.907536352,257342.41704171,291218.298097497,330658.639695902,309206.405918249,313381.401091923,373161.128348494,278158.644480358,278027.421253808,303219.929753046,319066.215220468,278381.918315062,272127.9112549
"P59108","Cpne2","Copine-2",392634.900676499,390045.659079177,447789.467094042,427820.271337236,438704.096490373,476924.217909235,399579.031769666,434010.113918732,546295.415240648,545138.739017859,463060.376788158,460345.047952216,362696.783545198,378803.020288347,466911.268676994,464476.154197662
"P59110","Senp1","Sentrin-specific protease 1",234688.769693167,228735.74410642,207145.973066334,188287.953268588,195985.444445418,189490.976679458,173731.589958198,174631.0745494,241400.029404503,206609.79257639,233511.53160522,224281.606344701,224530.761173998,205467.73111146,221272.154629081,206223.731602747
"P59114","Pcif1","Phosphorylated CTD-interacting factor 1",314272.595645432,320578.48965192,365914.263438891,357983.477744994,372979.942828236,371490.549860143,337251.638288505,355103.738146839,432885.838563189,400345.187101758,435888.602816142,450614.55100814,359554.000325009,401978.931272968,344055.992375938,357295.928929559
"P59222","Scarf2","Scavenger receptor class F member 2",135939.569391011,230592.17345159,194831.198297938,170382.240375544,209985.797358951,189638.819579747,229675.05622213,232451.430533769,267429.906074625,232781.801906383,251737.967325034,237175.820240342,292972.018972064,292115.402928123,328451.627902494,320982.558266426
"P59235","Nup43","Nucleoporin Nup43",316444.384006101,349059.955918486,283299.605924783,262552.293730255,296506.616446059,278883.428840592,298458.879604289,308743.31783874,232401.081625933,257018.406097501,360723.412190835,319193.988098862,347072.337439993,257682.913674195,351209.42637341,335058.188753792
"P59242","Cgn","Cingulin",641289.793947156,679427.351899124,713656.025084122,718074.738328946,865394.677640195,774111.694873134,812790.677256543,804353.444146572,874114.17642608,744665.20862682,844063.309737303,728245.186917135,831782.288340596,899120.956447915,1041105.21078284,979991.119247878
"P59268","Zdhhc9","Palmitoyltransferase ZDHHC9",34732.7692088736,67106.2327441218,32019.4483950882,47430.1660885298,60224.8660484262,52769.8154172584,51370.1287949603,50074.4227585148,43355.2162644977,42988.3158442659,39368.4443765608,42533.0487686849,37991.0500162864,55523.3567237272,57302.136791258,56460.4955615807
"P59279","Rab2b","Ras-related protein Rab-2B",3311.44571236956,2698.55119189023,3520.89322420114,4747.44330887545,2283.14432835478,2799.00218822678,3454.68696997491,4382.7809532761,6552.91419534779,4718.46432821122,5363.93771860646,3465.93395825544,3848.9243797545,4927.91376697806,6960.7001926217,4502.86674519405
"P59280","Klhl8","Kelch-like protein 8",23490.1271900726,25024.9153220318,22011.81314755,24055.2653177304,28256.5129305605,22519.4862961699,25674.7821986913,20519.8967450257,24610.8550421748,27781.4881105785,26879.3957055255,24557.205660591,26255.4592772428,23479.6299512176,26514.4244008159,26167.2489417275
"P59281","Arhgap39","Rho GTPase-activating protein 39",34666.185936192,35032.854412433,33417.9959672013,32005.0411624227,28491.0341705095,31032.2073570133,25385.1669328068,28911.4588135475,41752.5875894897,31352.7653132897,30246.3170959615,34512.6407754933,28307.5431857606,32613.970755403,25548.5511014021,29127.507556464
"P59325","Eif5","Eukaryotic translation initiation factor 5",2104379.69239788,2152182.72918071,2124533.8819244,2082227.98089103,1982083.00803616,2191160.06082217,1840746.79137285,1945204.33373685,2390636.32268066,2330684.35008482,2084094.02066181,2370011.24664519,2113988.82077216,2368541.30718464,2072676.63089564,2177384.78891656
"P59326","Ythdf1","YTH domain-containing family protein 1",635325.174097929,565889.439462165,434958.900027225,518325.192608714,550388.385327349,525055.614700388,455229.850837302,435150.993688472,616681.161506927,556150.466908269,619017.220467621,606802.151264538,565759.425744224,609962.757216104,506199.768239859,490223.218083151
"P59328","Wdhd1","WD repeat and HMG-box DNA-binding protein 1",439211.479859386,502023.427618776,411033.794262774,454591.297872227,447293.224986722,379902.880541697,368988.567611561,395147.621870324,285815.172917456,315181.836815734,294539.850547043,321357.708182295,256261.823010711,290324.400362217,217626.684284074,240876.82235839
"P59383","Lrrn4","Leucine-rich repeat neuronal protein 4",362407.110556065,442939.92011281,332744.188198644,273858.355038937,366729.791668693,353549.230548736,460879.589514093,424345.035912645,283484.956913781,283392.33427432,381784.592344044,288758.561239333,447595.150418328,482491.821541487,643108.701436037,620147.830890675
"P59438","Hps5","Hermansky-Pudlak syndrome 5 protein homolog",138404.053304269,149501.999556945,145453.613743787,145114.732879922,153855.333093181,143101.043874578,140749.459997206,148688.939158186,119055.265007603,127051.332197538,122171.396819705,134803.105581377,135696.135041581,131392.269185136,144902.977547116,151143.259502594
"P59470","Polr3b","DNA-directed RNA polymerase III subunit RPC2",778409.241500687,693961.217309354,680032.184124506,653887.780468421,712098.220905893,719986.739938734,735183.145436858,711944.203649106,627816.233660597,658314.88692128,687018.089360216,662158.422184732,744601.201875105,706474.321581456,735136.98917099,775938.975876401
"P59598","Asxl1","Putative Polycomb group protein ASXL1",74755.3311556954,78088.9520839493,69054.1016401489,71677.0305311457,56819.5988073195,71459.3173212386,73373.9023799278,71081.1075220505,56838.5403379645,69928.4924763254,63210.5206110853,68891.5935309803,70637.6022348458,68707.1888666664,60856.5304942356,64738.0413630572
"P59672","Anks1a","Ankyrin repeat and SAM domain-containing protein 1A",88293.4145722461,83029.6555080631,108426.516632528,90325.7265299165,78029.5961445453,102182.81337833,93137.7385056739,86826.975081413,69667.3646640729,81799.6184052506,82071.8388506647,95784.8903733008,99010.51448342,90832.5510321541,95807.5575824537,95460.4556175486
"P59708","Sf3b6","Splicing factor 3B subunit 6",182867.572830051,171281.367371752,163705.892402746,147990.355707559,157374.112381833,166672.757173103,176182.839784835,147427.282677686,199495.298662142,204459.967585987,220715.737643751,200019.457391884,243641.560890402,201396.701439243,220253.178337065,214937.132069448
"P59759","Mkl2","MKL/myocardin-like protein 2",83005.0776380566,90665.2501936019,67550.1128605611,91905.9237122837,92493.7642573268,85573.2643058328,80085.6208216221,87830.000522219,76570.7358924755,76710.8501750522,79256.5085580662,84875.8256917828,80489.5675772941,104631.990493797,74075.9694338677,71237.9348992918
"P59764","Dock4","Dedicator of cytokinesis protein 4",372950.853917718,333943.328226283,303116.693612247,337756.153155386,375049.47503924,342487.569025008,295677.808478041,336803.172759299,373183.80981361,359193.761932138,326448.45097176,365318.450698271,341886.668564434,385287.57678134,319600.861950522,322258.583431274
"P59808","Sash1","SAM and SH3 domain-containing protein 1",81661.111206928,89690.5938187453,92827.4749353071,89291.5435487986,103247.552053976,100357.641403637,92350.886652208,85270.7296873966,118555.750313236,92914.4846994362,105880.488431429,105462.296320535,100373.106825408,101930.495205787,95414.254776487,101643.962781271
"P59941","Sirt6","NAD-dependent protein deacetylase sirtuin-6",88638.8124779572,79700.7854608021,93185.2910117666,87664.4425927151,88970.5770995871,99141.2896268136,88415.7046234489,92746.4570434609,80935.8944773231,101281.8715869,99186.0150278576,102012.080091607,102251.254247093,100792.189538104,88046.9660103154,90224.1114428299
