"Leading.razor.protein","Gene.names","Protein.names","pVal","phase","peak.shape","period","S1T","S2T","S3T","S4T","S5T","S6T","S7T","S8T","Av_expr","Amplitude","CV"
"P59383","Lrrn4","Leucine-rich repeat neuronal protein 4",0.212860310421286,24,6,24,2342609.53442649,2459591.43187198,2419960.60878752,2592383.02022582,2353221.97277703,2603413.11569259,2540587.71153098,2790086.87734594,2512731.78408229,0.178084006320985,0.0598066656053619
"P59997","Kdm2a","Lysine-specific demethylase 2A",0.220028208744711,12,12,24,4440.58845801017,4609.28559309746,4662.59237081481,3690.19783710015,4264.41226429773,5758.69958306553,3203.87767956634,3286.94380751929,4239.57469918394,0.602612781888467,0.198277096448291
"P59999","Arpc4","Actin-related protein 2/3 complex subunit 4",0.0736953455571227,18,12,24,597947.447592696,687651.675663997,704833.506030082,646263.156627392,662982.891593978,657422.172796936,695437.970019783,682634.435399843,666896.656965588,0.160273795528865,0.0513749175578791
"P60122","Ruvbl1","RuvB-like 1",0.51410437235543,6,18,24,20288.3464297962,18472.4501829645,17816.2051857038,14653.9716776722,14881.7914882062,13285.1694378955,9836.09539088431,12338.0445195795,15196.5092890878,0.687806050723595,0.228594497965852
"P60229","Eif3e","Eukaryotic translation initiation factor 3 subunit E",0.846614950634697,6,12,24,530891.434938553,544331.780215424,530316.417051935,534677.198908026,590741.82123034,542330.802363503,547636.739243265,555251.080672547,547022.159327949,0.110462443153384,0.0359056196699411
"P60335","Pcbp1","Poly(rC)-binding protein 1",0.473946784922395,24,12,24,986558.543760345,884398.638687124,1129153.39179317,1033984.97649272,1024886.96096319,943203.269190227,882820.802948356,992923.001608989,984741.198180515,0.250149571582825,0.0833374163565921
"P60670","Nploc4","Nuclear protein localization protein 4 homolog",0.220028208744711,18,12,24,177257.327907077,176393.009307114,181302.041949991,177940.491983114,174189.895608231,194504.039376904,196703.917786597,176979.617157953,181908.792634623,0.123765442298257,0.04781531663543
"P60762","Morf4l1","Mortality factor 4-like protein 1",0.914315937940762,24,12,24,16287.070371985,14303.586372795,17809.0575929617,17202.1749750474,15756.3623417752,15827.7364743225,14547.7854975714,15671.2246604185,15925.6247858596,0.220115145703999,0.0748249539066976
"P60766","Cdc42","Cell division control protein 42 homolog",0.0734478935698448,12,6,24,289990.08081441,273108.582496121,245735.063593639,250623.504002141,251060.435414683,260446.81563721,232610.459480537,243160.651322849,255841.949095199,0.22427761177086,0.0714364493328281
"P60843","Eif4a1","Eukaryotic initiation factor 4A-I",0.930570953436807,12,6,24,1517489.68184777,1428941.40791697,1369087.95181186,1488751.61841816,1416766.6197216,1497243.56507468,1446199.82903916,1418935.49980804,1447927.02170478,0.102492548181871,0.0343622527512527
"P60867","Rps20","40S ribosomal protein S20",0.881513303769401,6,18,24,356116.978142919,488060.231728388,551010.606127953,269409.008459439,542147.899885089,293291.588760671,232663.787072694,401855.890980279,391819.498894679,0.812483349994867,0.31789325428281
"P60898","Polr2i","DNA-directed RNA polymerase II subunit RPB9",0.416574279379157,6,12,24,43126.1561732035,38437.9133669215,34860.2434475506,38914.9967451229,36756.9616083279,38210.2928632738,33580.7794604407,34200.3224167111,37260.958260194,0.256176361490954,0.0838631149680931
"P60904","Dnajc5","DnaJ homolog subfamily C member 5",0.914315937940762,6,12,24,358953.451045962,228495.411521496,209321.327478238,304002.421521957,263768.69117276,293991.844167535,307179.780845834,221952.861647057,273458.223675105,0.547184581091632,0.188922535594753
"P61022","Chp1","Calcineurin B homologous protein 1",0.00762195121951219,12,18,24,2984.60085905986,3973.61946387181,3619.89989135384,3208.93640029968,3043.60152323324,4612.51229897302,4170.75006473084,3316.95434684791,3616.35935604628,0.450152011909828,0.162255383063882
"P61027","Rab10","Ras-related protein Rab-10",0.405487804878049,18,18,24,41596.4034672784,46685.8179171585,53701.9373829984,47770.8354170451,52565.9118674582,45544.9518675017,48705.5309550829,53166.3473689707,48717.2170304367,0.248485743924102,0.0868262191023064
"P61082","Ube2m","NEDD8-conjugating enzyme Ubc12",0.220028208744711,6,12,24,33799.0449956465,37201.8784574713,32490.1924573401,33273.5273215584,35481.5096819654,31954.9748997011,30398.1961033879,32527.383568491,33390.8384356952,0.203758955235163,0.0636807480390155
"P61087","Ube2k","Ubiquitin-conjugating enzyme E2 K",0.930570953436807,12,6,24,59701.4502981945,52306.821360642,43936.7579712683,54704.334887889,47484.0303909897,65291.0203242182,55652.9872468876,50100.8825724775,53647.2856315708,0.398049260117331,0.126821098014674
"P61089","Ube2n","Ubiquitin-conjugating enzyme E2 N",0.0881374722838137,12,6,24,16700.3529731035,19107.4258483389,13510.7861722631,15435.6399783707,14554.0310121965,15177.7018138153,13655.5992771884,13996.3370758784,15267.2342688943,0.366578489430693,0.122897379790263
"P61161","Actr2","Actin-related protein 2",0.212860310421286,24,6,24,930717.834756142,1091873.79887616,1022156.30066029,1092183.22535632,934299.205125981,1113396.98427861,1145918.90386543,1176768.837343,1063414.38628274,0.231378290307837,0.0868965330638829
"P61164","Actr1a","Alpha-centractin",0.846614950634697,12,12,24,33059.806173533,28117.5711056216,33601.9370773618,27467.4919913603,31918.3533969881,38891.7154902541,27594.5048296804,35782.9014387229,32054.2851879403,0.356402379023941,0.129439052394715
"P61202","Cops2","COP9 signalosome complex subunit 2",0.442350332594235,24,6,24,184831.467075506,195153.121376707,192971.595855096,197138.260706874,185421.444527233,205289.896421203,203143.431057754,207635.39333865,196448.076294878,0.116081188949462,0.043828726496105
"P61205","Arf4;Arf3;Arf1;Arf2;Arf5","ADP-ribosylation factor 4;ADP-ribosylation factor 3;ADP-ribosylation factor 1;ADP-ribosylation factor 2;ADP-ribosylation factor 5",0.0881374722838137,12,18,24,4010518.73792172,4294038.94330193,4217357.26724199,4155207.9461148,4119075.8947976,4540885.56699045,4516257.6985978,4421176.55155407,4284314.82581505,0.123792683458512,0.0451454513127483
"P61222","Abce1","ATP-binding cassette sub-family E member 1",0.961650876839347,18,6,24,915797.165390792,928029.97006529,1006290.19187074,906624.69504704,959267.809668944,904718.03799095,918868.557207759,907640.248904917,930904.584518304,0.109111240366647,0.0378388829720739
"P61255","Rpl26","60S ribosomal protein L26",0.881513303769401,12,18,24,427118.55542627,416319.259117316,371647.181106984,466345.305509229,379752.252575139,486413.241343197,549087.598536249,403145.749294007,437478.642863549,0.405597896774607,0.136834492406366
"P61290","Psme3","Proteasome activator complex subunit 3",0.846614950634697,18,12,24,124598.399926336,136557.011257172,142367.051800224,122164.009225716,138110.425785268,133284.443310265,135607.202203681,149321.407697757,135251.243900802,0.200792227034593,0.0653729119814165
"P61294","Rab6b","Ras-related protein Rab-6B",0.00762195121951219,12,6,24,5915.49832927383,7301.23676389641,5128.62985718351,4340.94437750322,6581.28688942566,6596.43428308184,4060.14808788223,5824.46516539268,5718.58046920492,0.566764548206979,0.199008027124081
"P61327","Magoh;Magohb","Protein mago nashi homolog;Protein mago nashi homolog 2",0.920310296191819,12,6,24,123656.956170568,92934.3420618667,82450.00920729,106533.211467192,90455.5496397083,107288.119465213,101299.478629846,84126.9469361491,98593.0766972291,0.41794970137529,0.140451433043865
"P61358","Rpl27","60S ribosomal protein L27",0.753526093088858,6,18,24,462213.112955275,430784.476800742,423098.812884672,446548.994975951,436160.461204869,458344.400447379,477232.660790325,443308.281764417,447211.400227954,0.121047557996195,0.0399941977818849
"P61620","Sec61a1;Sec61a2","Protein transport protein Sec61 subunit alpha isoform 1;Protein transport protein Sec61 subunit alpha isoform 2",0.314174894217207,6,18,24,271675.357274,252953.524215558,219334.537640708,242157.645041737,221392.532991692,233026.267876017,199330.260396681,195217.532682004,229385.9572648,0.333315192890096,0.113632482289629
"P61804","Dad1","Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1",0.914315937940762,6,12,24,14524.1982598698,14311.3279371877,10424.7072874819,12301.6472475565,10056.3345879941,11027.7063885489,11827.1604388415,13499.1016190596,12246.5229708175,0.364827117257875,0.140758751391982
"P61924","Copz1","Coatomer subunit zeta-1",0.961650876839347,24,6,24,37946.7211613114,55813.4361833132,48463.1541484902,55990.9320871103,43543.9218351523,43638.0822785091,37320.0441366526,44770.9861720972,45935.9097503295,0.406455168776183,0.155132621665881
"P61957","Sumo2;Sumo3","Small ubiquitin-related modifier 2;Small ubiquitin-related modifier 3",0.0193935119887165,6,12,24,987782.775552195,859408.847904461,720520.667151413,760033.711940461,797223.297167957,774616.536984066,732036.393623669,737983.367447259,796200.699721435,0.335671782873701,0.112043356025592
"P61965","Wdr5","WD repeat-containing protein 5",0.917960088691796,12,18,24,50579.2525730338,51757.5887517031,49450.4089497563,47586.8100364579,45277.5903923075,51027.7208498174,45680.9110852969,53926.6622289949,49410.868108421,0.17504391579822,0.0612928800328116
"P61967","Ap1s1","AP-1 complex subunit sigma-1A",0.881513303769401,18,18,24,47549.9144561354,44044.375223235,48731.2146612869,46508.9329817244,46520.9870807434,47794.3552970701,46986.1979838562,49893.3934369279,47253.6713901224,0.12377912745454,0.0366490325133012
"P61979-3","Hnrnpk","Heterogeneous nuclear ribonucleoprotein K",0.0736953455571227,6,12,24,676272.205773469,634863.339459705,527937.392893346,538069.469235523,541212.233480747,532409.228163767,473073.861246246,488870.762577659,551588.561603808,0.368387524092958,0.12597118047258
"P61982","Ywhag","14-3-3 protein gamma;14-3-3 protein gamma, N-terminally processed",0.0736953455571227,6,12,24,522989.47160517,478134.761558982,441010.80406431,453152.572401083,480673.924033631,440263.615489317,398062.196223666,433859.474738957,456018.352514389,0.273952297517592,0.0825253854647696
"P62071","Rras2","Ras-related protein R-Ras2",1,6,18,24,125062.58400036,118128.949530583,103667.942524933,110720.455634178,99871.9923700667,114751.367880476,121312.470357705,119992.926081147,114188.586047431,0.220605162934847,0.0773580754425989
"P62073","Timm10","Mitochondrial import inner membrane translocase subunit Tim10",0.212860310421286,18,18,24,41855.9542805006,44781.8115395036,52716.8485189268,42980.7426737178,48259.5938772549,36813.629606726,49389.9782093236,48155.3257695907,45619.235559443,0.348607746648418,0.110339998304446
"P62077","Timm8b","Mitochondrial import inner membrane translocase subunit Tim8 B",0.473946784922395,18,12,24,9653.72117893809,11412.4259193405,11359.4123268127,10631.0958592087,10173.5527958713,9721.25822273512,10352.6203906482,11107.591894092,10551.4598234558,0.16667880746632,0.0659262724665889
"P62082","Rps7","40S ribosomal protein S7",0.753526093088858,6,18,24,1455426.71141748,1345681.09210535,1209149.4663569,1209970.03829113,1089950.91553655,1200951.6917252,1208887.84014806,1159957.77629598,1234996.94148458,0.295932551413118,0.0921417143716783
"P62137","Ppp1ca;Ppp1cc","Serine/threonine-protein phosphatase PP1-alpha catalytic subunit;Serine/threonine-protein phosphatase PP1-gamma catalytic subunit",0.0289634146341463,24,6,24,2068587.38575852,2154588.26315721,2349105.7586997,2198545.59147004,1988109.69390604,2111821.77114487,2175463.78447884,2240731.8932833,2160869.26773732,0.167060576122527,0.0507701665731146
"P62192","Psmc1","26S protease regulatory subunit 4",0.881513303769401,6,18,24,444730.371654586,483530.37040133,546564.968466129,394437.807855737,551986.518762517,394197.522126857,400092.141767385,456192.30066183,458966.500212046,0.343791968613745,0.140154710766502
"P62242","Rps8","40S ribosomal protein S8",0.914315937940762,6,12,24,3739359.58696103,3420817.7845164,3153077.82002136,3556566.96242577,3299247.24384386,3490931.45931983,3438744.0522311,2948971.08288737,3380964.49902584,0.233776043582059,0.072581374669021
"P62245","Rps15a","40S ribosomal protein S15a",0.923579946146942,18,6,24,683297.63640369,690169.776406313,690880.126063085,704334.079288322,720639.175244167,699660.554273755,729631.879111218,671792.589600763,698800.727048914,0.0827693608086449,0.0273976446506198
"P62254","Ube2g1","Ubiquitin-conjugating enzyme E2 G1;Ubiquitin-conjugating enzyme E2 G1, N-terminally processed",0.442350332594235,24,6,24,27229.1125000367,31601.3796980549,29500.7865693439,28752.014830414,24583.7684162894,28166.3460948943,28452.7027413273,30521.3133746135,28600.9280281218,0.245363062165866,0.0744674141810923
"P62257","Ube2h","Ubiquitin-conjugating enzyme E2 H",0.76163610719323,6,6,24,329822.864991989,400520.295427917,423052.91564412,324883.326085749,377299.680330648,320378.998820929,320902.686703622,356967.467803632,356728.529476076,0.287820873127213,0.111541274085397
"P62259","Ywhae","14-3-3 protein epsilon",0.254573170731707,6,12,24,9064753.31154922,8101899.90118023,7770028.32459343,8665050.97596751,9601415.31491888,8582674.62289496,8825707.41516219,7993701.82056633,8575653.96085409,0.213556540257491,0.0707127633789313
"P62267","Rps23","40S ribosomal protein S23",0.914315937940762,12,12,24,56018.985575732,58595.4824251251,61722.7122341544,51318.9790942835,51236.2259439552,48723.0340986545,44992.79239614,40132.4809050534,51592.5865841373,0.418475458560148,0.137949807621837
"P62270","Rps18","40S ribosomal protein S18",0.750554323725055,18,6,24,1320133.93071301,1173385.77652386,1179389.0045459,1172412.85844432,1118788.10213689,1239348.38860872,1257252.41412107,1101957.88592385,1195333.5451272,0.182523150695936,0.0609748880641381
"P62301","Rps13","40S ribosomal protein S13",0.923579946146942,6,18,24,469913.992121381,365273.894289738,369069.818985291,406993.317276191,391899.368397945,430027.392113414,411789.425196068,367234.436388301,401525.205596041,0.260606548165042,0.0905856844872748
"P62313","Lsm6","U6 snRNA-associated Sm-like protein LSm6",0.080394922425952,6,12,24,141208.157617386,110825.725067721,107490.305974047,113688.76625503,117561.285558811,110873.435248478,108752.491509602,99865.5568472132,113783.215509786,0.363345336875429,0.107239645289856
"P62317","Snrpd2","Small nuclear ribonucleoprotein Sm D2",0.416574279379157,6,12,24,244910.802436779,200878.217476551,163892.857619097,207026.775137686,184399.835430937,204074.432857559,184331.641048582,164309.548995467,194228.013875332,0.417128009503739,0.135990655375049
"P62320","Snrpd3","Small nuclear ribonucleoprotein Sm D3",0.917960088691796,6,18,24,598582.455141849,580153.358664831,569980.090357882,576684.96788406,594917.319195491,548194.884512715,603583.074139952,559234.913101126,578916.382874738,0.095675629962646,0.033727993100367
"P62334","Psmc6","26S protease regulatory subunit 10B",0.914315937940762,24,12,24,685044.500236069,679576.491692304,721385.95906065,709012.156582596,735971.022272861,712811.089585782,708802.59890128,716451.913181722,708631.966439158,0.0795822560248542,0.0260723891283435
"P62500","Tsc22d1","TSC22 domain family protein 1",0.930570953436807,6,18,24,234010.975842221,191389.674924522,155411.047565093,219343.831917917,198314.494400167,226670.629921537,229049.810112995,187790.385740982,205247.606303179,0.382951741522505,0.131252585770769
"P62627","Dynlrb1","Dynein light chain roadblock-type 1",0.828159645232816,18,12,24,279492.982937596,297377.549941239,308518.156794344,269497.909609481,308080.292638363,294451.525999109,302998.934335084,336752.918260644,299646.283814483,0.224447998470096,0.0677532116692878
"P62700","Ypel5","Protein yippee-like 5",0.914315937940762,12,12,24,57142.7406619821,56824.547262436,48167.8647109614,58364.2964560693,60688.1893433673,62038.821991587,61112.1356095636,55217.7513235565,57444.5434199404,0.241466925400101,0.0771297454501371
"P62702","Rps4x","40S ribosomal protein S4, X isoform",0.753526093088858,6,18,24,1595907.34222138,1348917.27525295,1412191.05087092,1539289.53176398,1312794.1126524,1551136.29850295,1427607.72851678,1324055.76432264,1438987.388013,0.196744760883493,0.0767380765586466
"P62715","Ppp2cb;Ppp2ca","Serine/threonine-protein phosphatase 2A catalytic subunit beta isoform;Serine/threonine-protein phosphatase 2A catalytic subunit alpha isoform",0.750554323725055,18,12,24,302422.929016823,289628.662447124,343522.796054867,300660.726070928,302522.607468131,310550.515254662,303353.227804491,307602.899864922,307533.045497744,0.175246642260883,0.0512791336166601
"P62737","Acta2;Actc1;Acta1","Actin, aortic smooth muscle;Actin, alpha cardiac muscle 1;Actin, alpha skeletal muscle",0.739421720733427,18,18,24,10388813.7165042,10467333.4053534,10822818.6421534,10735109.1083105,11275100.1702246,11235091.1684783,11535768.2411715,11767413.5400698,11028430.9990332,0.125004166384724,0.0454576127460802
"P62743","Ap2s1","AP-2 complex subunit sigma",0.923579946146942,12,18,24,112028.818226061,122776.189712351,118482.334096712,124240.246195423,122807.255199152,132190.522052925,131642.144280127,120321.13430347,123061.080508278,0.163834932568367,0.0539633450634308
"P62746","Rhob","Rho-related GTP-binding protein RhoB",0.442350332594235,6,6,24,73523.20823196,62138.6081393238,74268.9550037346,69117.6807861137,74307.5069447823,69714.6985668289,72373.1607843368,72745.3011764177,71023.6399541872,0.171335893419541,0.0574737593061357
"P62751","Rpl23a","60S ribosomal protein L23a",0.750554323725055,6,12,24,1069561.73570354,952335.3437862,906276.144137128,995264.376929024,1018104.85233994,956572.274874057,1071436.2650785,946400.35789785,989493.91884328,0.166913730136355,0.0606660874736349
"P62754","Rps6","40S ribosomal protein S6",0.828159645232816,6,12,24,1830130.23630585,1730756.44349123,1600853.46310745,2134883.08280862,1888866.15747089,1784948.60206066,1914187.03653073,1694419.05072037,1822380.50906197,0.293039580398085,0.0894021245974375
"P62774","Mtpn","Myotrophin",0.254573170731707,18,12,24,69466.2207455461,87260.6122879251,86274.8480131984,79687.6324099045,72790.7743761892,72879.4155993544,77350.8004577615,78392.0210764088,78012.790620786,0.228095821220858,0.0816241635949404
"P62806","Hist1h4a","Histone H4",0.963137472283814,6,18,24,9371193.48754471,7622802.76901308,7525501.00820747,7493009.68481875,8273648.34791183,7727248.88533783,9104526.11392502,8488056.0502229,8200748.2933727,0.229025905385218,0.0897221054481078
"P62814","Atp6v1b2","V-type proton ATPase subunit B, brain isoform",0.51410437235543,12,6,24,403346.540209939,423396.095129561,406581.210814963,412015.244463017,430427.945034271,411618.248525442,380748.819768229,397210.924113859,408168.12850741,0.121712406717567,0.0376341909702101
"P62827","Ran","GTP-binding nuclear protein Ran",0.930570953436807,12,6,24,453113.704146425,429496.343255244,369042.590060559,387242.642666602,342232.029761047,358551.72737594,316865.852227458,356175.56290221,376590.056549436,0.361793545924603,0.120081858145474
"P62849","Rps24","40S ribosomal protein S24",0.846614950634697,24,12,24,230224.093052402,223531.394894038,194554.792804473,210069.466387407,209139.634883729,205538.529616271,233368.335433101,227172.398032681,216699.830638013,0.179112011829231,0.0636850751295368
"P62852","Rps25","40S ribosomal protein S25",0.473946784922395,18,12,24,2104293.04115399,2166700.67295968,2188057.60173602,2264726.17581687,2054726.88936492,2116849.00960731,2144638.41692296,1972976.54856043,2126621.04451527,0.137189288147451,0.0413572577969266
"P62858","Rps28","40S ribosomal protein S28",0.254573170731707,6,12,24,49528.3473012181,44252.5605359566,34032.6491594854,43094.5361457718,37138.4189396533,40185.7097209834,36512.3284551026,43304.100548454,41006.0813508281,0.377887806668455,0.12271987691308
"P62862","Fau","40S ribosomal protein S30",0.0038787023977433,18,12,24,1120646.8275009,1175684.1842226,1285745.70024824,1237511.91091136,1124826.09606135,1213373.73258568,1314358.0963784,1256893.90039834,1216130.05603836,0.159284994162985,0.0587315244259477
"P62869","Tceb2","Transcription elongation factor B polypeptide 2",0.914315937940762,6,12,24,287044.893572903,261975.899052267,250528.798304593,228669.167441118,216643.50617499,213152.845276624,201378.847651186,239852.209876768,237405.770918806,0.360842306360848,0.119558122934674
"P62874","Gnb1;Gnb2;Gnb4;Gnb3","Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1;Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2;Guanine nucleotide-binding protein subunit beta-4;Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-3",0.405487804878049,18,18,24,929678.510736877,935020.602711864,962588.902214482,932563.778711064,943040.755144319,923257.593517043,967909.014813066,970726.689793589,945598.230955288,0.0502000688268953,0.0198199382455496
"P62897","Cycs","Cytochrome c, somatic",0.917960088691796,6,6,24,706424.930762276,799593.650624551,902474.862476707,802061.434285727,938539.420017433,631582.586281241,608493.893697903,802485.308859767,773957.010875701,0.426439093750307,0.152936688169118
"P62908","Rps3","40S ribosomal protein S3",0.914315937940762,6,12,24,411017.476234368,368118.186893897,346049.929061618,389182.001498961,378386.699439469,418762.028192911,392216.087799417,373554.393404331,384660.850315621,0.189029112454858,0.0610652404415587
"P62911","Rpl32","60S ribosomal protein L32",0.473946784922395,6,12,24,239535.79369229,154031.500558907,133455.870482359,176323.577621958,159544.550485833,178555.712360422,159072.535969056,136301.079823011,167102.57762423,0.634819191409945,0.200224309230418
"P62915","Gtf2b","Transcription initiation factor IIB",0.100846262341326,12,6,24,63649.6300489467,66485.6011615391,50172.1301649527,56808.2299931646,56879.4206272504,53272.9729676909,40665.2720604902,43443.0454480729,53922.0378090134,0.478845573168098,0.16728688655005
"P62960","Ybx1","Nuclease-sensitive element-binding protein 1",0.258110014104372,6,18,24,157595.629977214,126009.443619374,97904.0742305369,114269.784660084,102656.466280764,128126.691658203,117689.681954207,89965.6686461989,116777.180128323,0.579136790738556,0.181994084931291
"P62962","Pfn1","Profilin-1",0.613540197461213,6,18,24,5380209.49274162,5588052.31157197,5246323.13004625,4971892.05887338,5500907.95383203,4974834.11600324,5082381.65464648,5369926.41878094,5264315.89206199,0.117044695898225,0.0447282105115547
"P62983","Rps27a","Ubiquitin-40S ribosomal protein S27a;Ubiquitin;40S ribosomal protein S27a",0.0736953455571227,24,12,24,7612144.02000639,6394718.28927058,7308120.2799981,7662720.10344718,6763422.16091434,6990170.19959853,7368552.62094145,7516401.66963241,7202031.16797612,0.176061694902791,0.0622562112827547
"P63001","Rac1;Rac2;Rac3","Ras-related C3 botulinum toxin substrate 1;Ras-related C3 botulinum toxin substrate 2;Ras-related C3 botulinum toxin substrate 3",0.212860310421286,12,6,24,159065.701873621,133275.843343503,111525.962666896,126446.180065136,122781.091194141,126766.175188851,122593.892929309,124990.511656426,128430.669864735,0.37015877326494,0.107418689156971
"P63005","Pafah1b1","Platelet-activating factor acetylhydrolase IB subunit alpha",0.917960088691796,6,12,24,261145.290186294,231574.252603605,206944.88181631,251057.242835291,227154.505326872,246975.606684484,235113.460234613,216538.554194498,234562.974235246,0.231069752362646,0.0770173170765246
"P63017","Hspa2;Hspa8;Hspa1l;Hspa1a;Hspa1b","Heat shock-related 70 kDa protein 2;Heat shock cognate 71 kDa protein;Heat shock 70 kDa protein 1-like;Heat shock 70 kDa protein 1A;Heat shock 70 kDa protein 1B",0.87672778561354,18,18,24,18671429.3785466,18287102.4538165,20619517.4629762,18631745.6806789,19763605.4299574,18996559.3262418,19460667.162836,19754046.5760479,19273084.1838877,0.121019292340849,0.039911809946086
"P63024","Vamp3","Vesicle-associated membrane protein 3",0.562915742793792,12,12,24,3916.96640718299,6162.70371949979,6678.82204930957,4378.79651161006,5302.62943927055,5634.64623944349,3756.0064194295,4841.00974021686,5083.94756574535,0.574910655958262,0.206832732054433
"P63037","Dnaja1","DnaJ homolog subfamily A member 1",0.920310296191819,12,18,24,461807.021938402,480224.408558458,434664.917503769,519209.485370301,462320.654240918,526734.02057152,546776.338470668,469552.221481611,487661.133516956,0.229896157929102,0.0794914149187447
"P63038","Hspd1","60 kDa heat shock protein, mitochondrial",0.0736953455571227,6,12,24,7047093.26972065,6392421.7541935,5753224.98216171,5816669.19187084,5931791.13522633,5586274.0215585,5360709.52845397,5811367.98551137,5962443.98358711,0.282834311887677,0.0886049088830533
"P63073","Eif4e","Eukaryotic translation initiation factor 4E",0.920310296191819,6,18,24,211547.45536977,189923.590013728,166230.522691255,171125.82371616,162004.573407247,158233.826596182,148561.860305268,148494.733237782,169515.298167174,0.371958889927481,0.127329577390638
"P63085","Mapk1","Mitogen-activated protein kinase 1",0.195121951219512,6,6,24,1140309.17921115,1012070.51002881,1033890.9358211,1046891.25033962,1038997.84997,1013582.84588816,956669.559318425,1030115.55736259,1034065.96099248,0.177589850957351,0.0495612210482682
"P63094","Gnas","Guanine nucleotide-binding protein G(s) subunit alpha isoforms short;Guanine nucleotide-binding protein G(s) subunit alpha isoforms XLas",0.881513303769401,18,18,24,511718.297751391,563115.01236246,576196.722037839,501890.484406193,564902.388499424,484024.201963426,539004.066789192,547169.455766693,536002.578697077,0.17196282954173,0.0621763427648683
"P63101","Ywhaz;Ywhab;Ywhaq","14-3-3 protein zeta/delta;14-3-3 protein beta/alpha;14-3-3 protein beta/alpha, N-terminally processed;14-3-3 protein theta",0.963137472283814,6,18,24,4699390.78608762,4612749.4200845,4355320.96872561,4231268.6091611,4256637.82947121,4054041.90550055,4154384.73537803,4100139.371194,4307991.70320033,0.149802721325497,0.0546588491447584
"P63154","Crnkl1","Crooked neck-like protein 1",0.442350332594235,6,18,24,33482.2417000547,29923.1340766077,27814.2434738253,28588.1403771696,30415.3959171256,29206.8065577249,31240.973988387,28303.13861706,29871.7593384944,0.189744372335154,0.0619763600843008
"P63158","Hmgb1","High mobility group protein B1",0.416574279379157,6,18,24,3169586.15132046,2843836.06109066,2797108.82686733,2881895.54208146,3127543.96834095,2681231.17468772,2944962.58212804,2428972.23198408,2859392.06731259,0.25901097222825,0.0832943085840788
"P63166","Sumo1","Small ubiquitin-related modifier 1",0.739421720733427,12,12,24,88563.3326135424,87302.9816606146,79661.3134993257,81688.20462302,79141.8700029913,81590.9938167035,79750.4503189482,76618.465895033,81789.7015537723,0.146043652093,0.0503621920950587
"P63242","Eif5a;Eif5a2","Eukaryotic translation initiation factor 5A-1;Eukaryotic translation initiation factor 5A-2",0.442350332594235,18,18,24,3013012.84707248,3082644.59638773,3730188.69132316,3044122.75579462,3127802.2295957,2999601.54615738,3127413.80599845,3243080.72734219,3170983.39995896,0.230397656820037,0.0753754930244097
"P63260","Actb;Acta2;Actg2;Actg1;Actc1;Acta1","Actin, cytoplasmic 1;Actin, cytoplasmic 1, N-terminally processed;Actin, aortic smooth muscle;Actin, gamma-enteric smooth muscle;Actin, cytoplasmic 2;Actin, cytoplasmic 2, N-terminally processed;Actin, alpha cardiac muscle 1;Actin, alpha skeletal muscle",1,6,18,24,62546502.5837879,66929083.048871,67867448.9603557,61542821.5805963,64151818.481026,60515804.9167286,58614777.8509537,64306803.3472412,63309382.596195,0.146150076496846,0.0496378086564982
"P63276","Rps17","40S ribosomal protein S17",0.0881374722838137,6,18,24,471122.551863408,409028.693158394,429563.104011851,425219.139604446,481749.507219733,442459.963130396,437540.502554357,402984.311874652,437458.471677155,0.180051823075014,0.0630711467541038
"P63280","Ube2i","SUMO-conjugating enzyme UBC9",0.917960088691796,24,12,24,135370.085565249,132089.919371135,129503.963361035,150327.30088474,108216.83716012,124781.645695714,133814.807677624,130520.820202562,130578.172489772,0.322492365467271,0.0897093389908148
"P63323","Rps12","40S ribosomal protein S12",0.51410437235543,6,18,24,1815835.53364089,1694993.66954649,1674650.89358393,1621908.25484659,1579592.51763315,1628036.51260751,1500894.98480936,1491258.61238897,1625896.37238211,0.199629525451478,0.0653990311769394
"P63325","Rps10","40S ribosomal protein S10",0.562915742793792,12,12,24,1685532.6943733,1591965.88629104,1515140.10852699,1514458.74910382,1388142.54847201,1533259.63657847,1468933.7670763,1501024.40701816,1524807.22468001,0.195034586069527,0.0570545885882547
"P63328-2","Ppp3ca","Serine/threonine-protein phosphatase 2B catalytic subunit alpha isoform",0.881513303769401,6,6,24,41546.8095551442,30873.1495664694,26781.29771174,33016.8993351034,31382.0779300554,34994.5450723533,38434.4164195729,35844.4404804084,34109.2045088559,0.432889363912623,0.135994716033272
"P67778","Phb","Prohibitin",0.662527716186253,12,12,24,800387.83558338,872747.354121549,851060.154771193,799051.43890341,848949.188530184,832749.987185868,795623.902439564,809200.243958349,826221.263186687,0.0933447916657632,0.0353529584025235
"P67984","Rpl22","60S ribosomal protein L22",0.846614950634697,24,12,24,922565.660329335,771365.709918467,740148.493148629,938424.932754289,886471.57723873,891003.521672305,982271.668204991,838537.443605864,871348.625859076,0.277871758640405,0.0953582745953353
