"Leading.razor.protein","Gene.names","Protein.names","S1","S2","S3","S4","S5","S6","S7","S8"
"Q3UE37","Ube2z","Ubiquitin-conjugating enzyme E2 Z",354194.294446997,372942.396869809,416648.706096663,337219.488249579,398390.113904098,345345.366420518,318644.249559048,377340.457975567
"Q3UEB3-2","Puf60","Poly(U)-binding-splicing factor PUF60",238986.934933207,234843.9967086,232730.932819234,219686.844256802,214546.893211791,214677.955192706,205459.569666467,221090.987838948
"Q3UFF7","Lyplal1","Lysophospholipase-like protein 1",182737.630163153,175315.051989642,188528.901074563,166720.684188234,185999.653440964,187410.354165333,183964.825596127,173689.566202399
"Q3UFK8","Frmd8","FERM domain-containing protein 8",338046.987697159,365922.671936408,360567.101441733,381211.061001317,356333.838000588,381370.58171641,355102.356001207,361934.055809816
"Q3UFM5","Nom1","Nucleolar MIF4G domain-containing protein 1",19192.2624607869,19490.1240124301,16783.3342418432,17877.7690073121,20003.2998173123,18946.6179719983,20195.4740044945,18609.2667514628
"Q3UFS0","Zyg11b","Protein zyg-11 homolog B",8396.96525363556,7984.68177932282,10296.9993994269,9765.54878270038,9026.05489839816,10832.7166698326,10464.8856231735,11031.8338911771
"Q3UFS4","Gpatch11","G patch domain-containing protein 11",5263.73905962011,4743.03635886107,4526.4912028161,4526.14120223008,4243.78069529741,5238.58184571157,4787.83512305341,4417.16785029404
"Q3UFY7-2","Nt5c3b","7-methylguanosine phosphate-specific 5-nucleotidase",434132.597168856,470389.593480519,537941.757208938,410449.058369812,449462.403510293,395443.692752721,398351.929980294,418317.373400936
"Q3UFY8","Trmt10c","Mitochondrial ribonuclease P protein 1",225647.908719615,201039.696038347,174383.425945224,217966.661786101,196285.173454471,230457.082353371,230913.300038808,197857.800698409
"Q3UGC7","Eif3j1;Eif3j2","Eukaryotic translation initiation factor 3 subunit J-A;Eukaryotic translation initiation factor 3 subunit J-B",709134.743213992,615045.459263854,587798.359110272,703737.498824722,612252.623975157,696169.895405757,651672.979151643,596541.938249255
"Q3UGF1","Wdr19","WD repeat-containing protein 19",56300.6759818845,49206.2012174598,57136.6469023106,55229.9613135369,49313.5329117536,54515.692224648,53849.1390262236,49219.6359301657
"Q3UGP9","Lrrc58","Leucine-rich repeat-containing protein 58",9905.15682522758,7840.94868931402,10435.0319810087,12094.1304915068,12252.40799924,12362.1009627178,10677.5760795958,10486.7357092197
"Q3UGR5","Hdhd2","Haloacid dehalogenase-like hydrolase domain-containing protein 2",94694.2052539235,105950.635024165,102766.488968753,106170.450792042,113367.506743552,103910.61118304,113704.759575252,111093.212272735
"Q3UGS4","Fam195b","Protein FAM195B",397675.560216984,435971.353852004,468560.232186888,407181.30310206,436434.983701473,390524.09561613,422934.512625067,433257.37481951
"Q3UH06","Rreb1","Ras-responsive element-binding protein 1",6335.34959334357,6116.56657301943,5324.79467361136,5753.12919813142,6297.92735953525,6867.64252912515,6539.49558184984,5587.98960282595
"Q3UH60","Dip2b","Disco-interacting protein 2 homolog B",199389.180539046,196113.660638868,189013.683100967,201600.525797092,181434.348156889,210322.248872329,190370.193718866,209851.314371187
"Q3UH68-2","Limch1","LIM and calponin homology domains-containing protein 1",145930.407523701,124658.936094528,113191.401467178,122985.103371554,120737.202791812,127318.983456355,124790.237680703,115229.821819572
"Q3UH93","Plxnd1","Plexin-D1",9966.98050986547,13407.4807309537,17401.8597304563,16195.6096376999,16868.8649224386,14835.9798341471,17335.3761281234,14229.9401227405
"Q3UHA3","Spg11","Spatacsin",15072.4472236784,12229.8134355515,12894.5326780251,15198.7744557074,13951.7600169846,14893.8205038542,14459.5472534617,15290.5198341082
"Q3UHB1","Nt5dc3","5-nucleotidase domain-containing protein 3",114293.984194531,110101.310542932,139647.84568568,123832.284919895,140860.438158269,127831.931938426,131762.289718478,143957.646627987
"Q3UHC2","Lrrk1","Leucine-rich repeat serine/threonine-protein kinase 1",23134.6827108938,26721.3871225441,25514.5819957755,29851.7382055854,20714.4365548437,26530.3300180399,25202.2551856297,23892.4755669957
"Q3UHC7","Dab2ip","Disabled homolog 2-interacting protein",230230.287651244,236609.6262277,220903.234931922,219048.804574794,226331.98155538,220420.743576888,217054.916104822,207371.299158084
"Q3UHD2","Gfod1","Glucose-fructose oxidoreductase domain-containing protein 1",3113.27738045886,4146.00717589419,5075.96491147094,3289.57584770619,4545.53238155651,3779.59906849444,3301.85374650078,3847.19085979107
"Q3UHD6","Snx27","Sorting nexin-27",221067.015041671,203306.643337425,227101.671508794,210855.522376686,215585.847479249,214629.302174036,223527.826326656,216606.844102994
"Q3UHH1","Zswim8","Zinc finger SWIM domain-containing protein 8",102651.359042926,126122.544577943,88020.030139248,106575.81002735,102333.195508587,121037.42594788,106917.799751285,119092.477330347
"Q3UHH8","Gxylt1","Glucoside xylosyltransferase 1",23425.0498063102,22317.1687153025,25034.2614647,21532.9629888255,16811.7814125594,19941.7611229655,23965.9459106039,24104.6530397108
"Q3UHI4","Tmed8","Protein TMED8",8958.6789144649,9454.63920904464,8812.3658507996,10274.72856019,9599.57223440149,10067.416740521,9889.83024121158,10290.2484991074
"Q3UHJ0","Aak1","AP2-associated protein kinase 1",730401.62658765,783834.582881,820039.287925617,739401.627369111,851945.680173984,745899.955967873,751908.462415544,826497.616806637
"Q3UHK8","Tnrc6a","Trinucleotide repeat-containing gene 6A protein",3208.14795958788,2543.83190191672,1698.1972181547,2866.59229781955,2060.50838070028,2607.79369691576,1575.87805216504,2077.29847296244
"Q3UHN9","Ndst1","Bifunctional heparan sulfate N-deacetylase/N-sulfotransferase 1;Heparan sulfate N-deacetylase 1;Heparan sulfate N-sulfotransferase 1",50142.7213755424,45869.5809547729,38649.3256381488,52803.2363627633,46543.0913615013,43961.7452974316,50580.035194293,44854.6664044787
"Q3UHQ6","Dopey2","Protein dopey-2",4777.78261956101,5430.32017070391,3448.63449069193,4399.06841308346,3630.39087152002,4597.16832454661,2643.45167184052,2999.81412849816
"Q3UHU5","Mtcl1","Microtubule cross-linking factor 1",3499.53616691272,3130.27950770503,3561.08445247422,3541.25303460186,3463.69670637576,3435.188776018,4118.94571619932,3369.30443018621
"Q3UHX0","Nol8","Nucleolar protein 8",68935.0792816446,61752.8395226518,46103.4703545267,60583.8035191982,49294.7916389318,57311.5947195428,53845.4592605415,47982.7715036712
"Q3UHX2","Pdap1","28 kDa heat- and acid-stable phosphoprotein",955179.640789635,919138.616739447,863923.955256057,830417.221325191,881429.570934021,895638.965584994,925128.050240597,933059.922207818
"Q3UHX9","D2Wsu81e","Putative methyltransferase C9orf114 homolog",16397.2006823381,16040.4261112664,19445.0217953013,16325.9407034913,19380.0235422757,13738.9317554648,15935.2252861046,15936.3843692265
"Q3UIA2","Arhgap17","Rho GTPase-activating protein 17",184280.715913507,166125.502037111,186885.752624895,153055.610169923,159551.46201692,175902.816175965,162394.223156252,189197.073138739
"Q3UIK4","Mettl14","N6-adenosine-methyltransferase subunit METTL14",54743.2018364572,61963.0186928848,70289.439321237,56361.0769875568,59353.5250574672,47534.4955961504,50278.7543790754,52401.5801657407
"Q3UIL6-2","Plekha7","Pleckstrin homology domain-containing family A member 7",121659.728531839,142821.207034287,135058.690753033,142948.791466161,144938.728256402,118747.664766923,137459.946906417,122750.410806911
"Q3UIR3","Dtx3l","E3 ubiquitin-protein ligase DTX3L",19444.6627588806,17292.6831516822,16285.5733199412,16376.3946236575,19044.9158291594,17859.1931220763,16694.3609463109,14887.3928910231
"Q3UIZ8","Mylk3","Myosin light chain kinase 3",17593.851010667,13147.6096443626,13098.0377035409,13163.2697943167,15688.4054482617,14174.2055868681,15984.5525450724,11338.6349279687
"Q3UJB9-2","Edc4","Enhancer of mRNA-decapping protein 4",857199.126100951,843650.267593306,794355.351623107,729661.82884547,744792.796691966,734871.989051349,674336.655987371,720435.871802783
"Q3UJD6-2","Usp19","Ubiquitin carboxyl-terminal hydrolase 19",316094.56691952,326136.657557591,318188.675492973,317997.03834453,325546.569088022,310234.560451152,292204.029203835,319600.435167902
"Q3UJU9","Rmdn3","Regulator of microtubule dynamics protein 3",91760.5414581581,86468.7065470003,85385.6185458615,80500.3650852427,91433.4259798884,83174.9843359165,82089.9607238036,78433.05898353
"Q3UKC1","Tax1bp1","Tax1-binding protein 1 homolog",232152.113091271,234981.764693826,216440.421435146,236658.308805018,250865.175967431,263492.309824842,253733.27492188,241213.995748942
"Q3UKJ7","Smu1","WD40 repeat-containing protein SMU1;WD40 repeat-containing protein SMU1, N-terminally processed",360916.088483505,364235.107484238,346743.766554577,378897.092169584,366796.884291054,352647.978889612,321364.056368791,360873.476098449
"Q3UL36","Arglu1","Arginine and glutamate-rich protein 1",43878.1069889467,46612.8848810904,45295.3313144863,39596.6512362022,39330.0224919296,39609.918657702,36980.3571865837,36994.6652463103
"Q3ULD5","Mccc2","Methylcrotonoyl-CoA carboxylase beta chain, mitochondrial",337214.874320141,325397.088305572,321218.842001451,314470.990600937,326971.937452175,322484.018988801,307363.37589588,315883.340171758
"Q3ULF4","Spg7","Paraplegin",217995.881734524,217086.139124872,226580.487736421,235394.887352089,225704.50138933,238173.594956305,229187.58192807,258101.333092788
"Q3ULJ0-2","Gpd1l","Glycerol-3-phosphate dehydrogenase 1-like protein",230566.066378079,259006.416124224,235576.880129727,233491.648975345,209234.834174909,240217.670042153,221934.303798045,229954.058255754
"Q3ULW8","Parp3","",30528.4612115065,27441.5568164027,25656.6400629143,27243.1421766393,28132.5418266171,29309.3158897454,28029.6951415725,28335.7938549613
"Q3ULW8-2","Parp3","",933760.147599844,924555.139363438,918710.154602827,997536.451988476,937652.409351179,984230.105661538,1012638.58179648,957571.05559968
"Q3UM18","Lsg1","Large subunit GTPase 1 homolog",34451.2575473005,34174.6869937882,29234.3435854842,26622.2035102336,30098.8452221884,30902.2033627345,30908.46782878,27829.3675555369
"Q3UM29","Cog7","Conserved oligomeric Golgi complex subunit 7",18422.5297385385,19970.7558464328,19663.0266806321,22226.2847645734,17550.4282753338,22810.1923735701,19954.4493523204,23277.0686004595
"Q3UM45","Ppp1r7","Protein phosphatase 1 regulatory subunit 7",417582.471053977,427002.18080536,452853.010618086,453885.993448082,432023.460017507,390276.403837552,404454.379792087,448318.601463071
"Q3UMB5","Smcr8","Smith-Magenis syndrome chromosomal region candidate gene 8 protein homolog",87852.4769823521,95332.7485121474,108437.759313609,103881.857023876,104183.079492896,111565.150192758,106961.43257286,105181.541781978
"Q3UMB9","Kiaa1033","WASH complex subunit 7",283642.609357591,261439.649796434,233070.848064395,266892.351470259,275567.205176247,320633.320152464,293447.054051231,257583.8620791
"Q3UMC0","Spata5","Spermatogenesis-associated protein 5",907904.015996264,941453.295671884,1015968.67409548,919279.311637511,971937.882983473,936149.719751812,961847.512040323,935635.996695302
"Q3UMF0","Cobll1","Cordon-bleu protein-like 1",1331876.25262547,1262642.42270459,1107930.43535675,1125158.3594854,1162783.44498599,1036611.831714,1119867.81851627,1057735.57951147
"Q3UMQ8","Naf1","H/ACA ribonucleoprotein complex non-core subunit NAF1",38422.5845472517,40208.9558690062,42718.8177627388,61496.5159223617,40687.4752343886,57214.6533519251,47093.6411988376,48288.0650446441
"Q3UMR5","Mcu","Calcium uniporter protein, mitochondrial",659471.851607058,674149.896004236,612412.935821305,662392.041651173,606188.016865339,666820.060658074,676678.274879141,642433.618205976
"Q3UMT1","Ppp1r12c","Protein phosphatase 1 regulatory subunit 12C",348166.392366447,340902.937287415,332948.823001325,353221.279794742,369861.942088831,361901.169179861,355158.564422,355036.083105752
"Q3UMU9","Hdgfrp2","Hepatoma-derived growth factor-related protein 2",49389.326443829,48513.3465164553,43602.3459340553,39209.9036720318,39231.8457324687,34405.1092800821,35972.2209820875,33922.2451967477
"Q3UMW8","Cln5","Ceroid-lipofuscinosis neuronal protein 5 homolog",125244.945270705,138172.574942412,141414.192244965,150146.324574491,141044.412120832,156685.410676365,163703.575780066,175338.171833799
"Q3UMY5","Eml4","Echinoderm microtubule-associated protein-like 4",441439.673985607,470484.516452268,447799.373462778,447655.61558358,471832.261851634,458454.568732735,473408.938544285,419514.140489668
"Q3UN02","Lclat1","Lysocardiolipin acyltransferase 1",205296.777071111,210273.159536169,193972.229567222,223078.502899146,208210.468870744,212268.77480769,201398.727450387,197658.647169161
"Q3UND0","Skap2","Src kinase-associated phosphoprotein 2",5922.2634122045,6195.20221518953,5001.5390575952,7203.85219030799,6874.43642165875,8042.38551790437,6471.51191087402,6217.75367239751
"Q3UPF5","Zc3hav1","Zinc finger CCCH-type antiviral protein 1",275055.058207664,262903.434639468,273752.384824311,259223.553076305,274107.44915554,299991.494461468,283361.27628745,254446.629964406
"Q3UPH1","Prrc1","Protein PRRC1",652492.366056204,655534.930669045,661250.390233122,665147.556336102,596230.383157072,625938.35634683,647059.196945351,660271.888014294
"Q3UPH7","Arhgef40","Rho guanine nucleotide exchange factor 40",47331.0433214927,44939.9582773504,45781.6343052057,44842.575369962,49107.8087564209,55605.041720322,57576.0977031428,52539.40835488
"Q3UPL0","Sec31a","Protein transport protein Sec31A",1513435.02765601,1509563.62990727,1535742.84715882,1613437.56598866,1393110.62746435,1596458.96720319,1601235.31748003,1496453.24775738
"Q3UQ28","Pxdn","Peroxidasin homolog",140367.881836838,143907.72752862,136172.928931603,147720.586980277,155195.268072349,165314.610554362,168380.64995609,150071.618955586
"Q3UQ84","Tars2","Threonine--tRNA ligase, mitochondrial",143519.506610876,154612.29998074,162430.136964436,159551.19200618,165174.230724593,157458.10529725,151294.669947067,165865.150149611
"Q3UQN2","Fcho2","F-BAR domain only protein 2",53516.3173128032,63964.804116782,70236.60102089,63327.3711897632,62243.3777451024,76251.020594257,60992.4841564973,61705.9058892642
"Q3UR70","Tgfbrap1","Transforming growth factor-beta receptor-associated protein 1",63816.4309413773,55991.7931946415,59252.2068686097,66636.595432994,60018.8402426407,67955.1896199479,68516.777029005,63308.466240216
"Q3UR85-3","Myrf","Myelin regulatory factor;Myelin regulatory factor, N-terminal;Myelin regulatory factor, C-terminal",361579.439910565,347620.724177892,323909.934865023,360255.790461612,329202.552972932,352912.171973085,343841.132286781,310066.764978462
"Q3URD3","Slmap","Sarcolemmal membrane-associated protein",271569.260637337,253527.742295452,232263.824398186,270884.826452335,248469.387935332,248660.280579344,252655.839530177,244385.68491092
"Q3URE1","Acsf3","Acyl-CoA synthetase family member 3, mitochondrial",143902.609233249,164631.289972641,185036.462811563,142073.203669617,149728.069122924,158188.153820155,182776.90523982,170612.22371751
"Q3URQ0","Tex10","Testis-expressed sequence 10 protein",104657.472629576,116152.10535192,100693.313208068,105812.336568083,93391.2012366344,95208.1734693193,106565.066612418,106397.075655391
"Q3URQ7-2","Mthfsd","Methenyltetrahydrofolate synthase domain-containing protein",2033.12663804669,1140.94299813548,1822.1152508816,2664.97408846648,1363.90042806283,1185.98697185712,2259.37612877686,1470.68010449857
"Q3URS9","Ccdc51","Coiled-coil domain-containing protein 51",71851.0964070651,86015.5660654713,93940.8400295918,71226.9148115607,84046.6134755789,77004.5700547665,76355.7818614697,84399.3582513372
"Q3USB7","Plcl1","Inactive phospholipase C-like protein 1",283325.414867489,263704.107312646,234490.110566709,274164.429998795,268091.242672321,274370.103724131,280432.845162363,248865.203608682
"Q3USH5","Sfswap","Splicing factor, suppressor of white-apricot homolog",59565.5420665681,60318.517110193,52435.954586472,62241.1802391789,50151.8180093925,64521.3177068129,56241.7226726905,56846.3341640098
"Q3USJ8","Fchsd2","F-BAR and double SH3 domains protein 2",8571.58467281324,7170.98961657726,9541.82033687874,11652.7821096223,9521.08240831757,7812.23840481423,10491.9319009365,8026.85120558622
"Q3USZ8","","Deleted in autism protein 1 homolog",39459.941417865,40355.541835215,36294.061695607,35489.0504793431,39718.3451035628,41594.3297252354,39566.4045137843,35410.9742307764
"Q3UTZ3","","Uncharacterized protein C7orf43 homolog",1700.6526006607,1537.75214233153,2842.88510233541,2425.34265159093,1193.64714046525,2080.14699912736,1771.65078586415,2252.7012517599
"Q3UU96","Cdc42bpa","Serine/threonine-protein kinase MRCK alpha",273842.998372353,274213.169565248,283035.032841699,281919.22714904,261528.35841904,286905.311377676,291344.343946367,269285.311255845
"Q3UUG6","Tbc1d24","TBC1 domain family member 24",71574.3750798796,77745.0260908982,84091.1765151017,74698.1642661277,80241.8771853314,60950.2894595564,81879.7541092166,74363.845780371
"Q3UUQ7","Pgap1","GPI inositol-deacylase",116990.647916349,112943.812647761,116140.835189749,150175.945271262,120394.624360309,135492.022031682,147669.916761967,131397.232486784
"Q3UV16","Itpripl2","Inositol 1,4,5-trisphosphate receptor-interacting protein-like 2",42767.5085459922,40924.76844285,46269.7624531046,44625.9493409118,48272.7045170132,50968.2662121406,48013.7666076334,63358.2033471598
"Q3UV70","Pdp1","[Pyruvate dehydrogenase [acetyl-transferring]]-phosphatase 1, mitochondrial",7431.74529793536,6589.7290584255,7846.14791948904,5618.6512347921,5639.66164395522,7251.76130238123,6629.28186449178,6614.62502058867
"Q3UVG3","Fam91a1","Protein FAM91A1",49114.3688553944,55503.7957529949,51960.9067316929,52477.5074339407,52336.8956759587,54047.6994154594,59215.9852793471,56102.0209223634
"Q3UVK0","Ermp1","Endoplasmic reticulum metallopeptidase 1",339105.97357456,336903.931041541,317159.084048485,334708.146841697,343813.464187653,337110.921515986,318605.428031102,352850.829473037
"Q3UVL4","Vps51","Vacuolar protein sorting-associated protein 51 homolog",155840.233615201,153609.934147262,147926.555856713,151535.94006923,154267.42892013,154134.231953703,146038.382253861,164795.443422742
"Q3UW53","Fam129a","Protein Niban",331530.065840825,303647.901306472,311317.364302587,344224.190621932,346127.75347372,360811.819684187,370136.49866592,367280.640980177
"Q3UXZ9","Kdm5a","Lysine-specific demethylase 5A",11600.2025932274,9349.86084678634,9239.35123318481,10960.2502191216,11866.578492707,10692.8253128003,11293.9368313387,9614.8493520307
"Q3UY96","Cfap74","Cilia- and flagella-associated protein 74",21357.9479902193,21251.3341669442,17373.4683965527,20737.4498092185,20679.0172685933,20477.2178306216,24797.9409313148,19126.7377651508
"Q3UYI5","Rgl3","Ral guanine nucleotide dissociation stimulator-like 3",10254.7484113331,8258.81724691447,7757.42500104043,11041.6083995853,8694.9189596139,10746.6140967135,10064.1591403986,10057.7659806709
"Q3UYV9","Ncbp1","Nuclear cap-binding protein subunit 1",80254.847413474,65270.2802659489,67784.5124899749,82815.814951814,71402.9599138987,76616.9058814408,73347.6654105383,66158.422978246
"Q3UZ09","C1rl","Complement C1r subcomponent-like protein",66723.9542722868,70594.7742907719,67195.4835693352,73496.1860118665,76496.0985322453,70905.843763024,71306.8489644467,73784.4853975271
"Q3UZ39","Lrrfip1;Lrrfip2","Leucine-rich repeat flightless-interacting protein 1;Leucine-rich repeat flightless-interacting protein 2",272438.691013191,309696.621296405,271168.317149793,281860.864502836,260602.212858906,270415.767080777,253665.659227473,254386.432682394
"Q3UZ39-2","Lrrfip1","Leucine-rich repeat flightless-interacting protein 1",20183.6692955206,19462.8401418619,20704.380249166,20346.4566118442,15390.1956906276,18104.8386983279,17447.6089814259,21635.1287668965
"Q3UZW7-2","Eef2kmt","Protein-lysine N-methyltransferase EEF2KMT",2362.66729940482,2317.26166115222,2083.61971565754,2827.09803545852,1734.42742742941,2873.39481070201,1686.34461794009,2403.99435253158
"Q3V009","Tmed1","Transmembrane emp24 domain-containing protein 1",146246.543770552,147480.130228674,161151.452123993,121161.465680599,160359.185084797,118821.763628378,109404.585399212,140092.417093739
"Q3V038","Ttc9","Tetratricopeptide repeat protein 9A",13306.9447339966,12681.2940618368,8393.79647096436,13507.0377274727,14883.8374478738,12308.6160702391,10269.3060771727,11064.1989034482
"Q3V0C1","Zmat1","Zinc finger matrin-type protein 1",7053.19126497242,9086.87753161327,9286.80531985218,6730.21724894333,6408.39770621415,6938.65182766221,6093.59997532779,6610.21533894211
"Q3V0C5","Usp48","Ubiquitin carboxyl-terminal hydrolase 48",43840.9756468219,41394.1962539578,38341.7866534007,42262.1190029482,36142.9744825287,40915.2336661877,33152.3889416922,37880.1908513828
"Q3V1G4","Olfml2b","Olfactomedin-like protein 2B",16053.1787975512,20545.4807245625,21709.2306741096,19550.3510183018,21155.8021267109,27286.2093128809,23654.4537456187,28569.5069822294
"Q3V1L4","Nt5c2","Cytosolic purine 5-nucleotidase",319549.545475883,320282.555594981,246977.227603218,288791.91994945,259715.355196385,317202.892342254,295804.403941292,279445.627972483
"Q3V1T4","Lepre1","Prolyl 3-hydroxylase 1",801543.978501907,772042.03756121,754409.08957272,785446.516694564,770211.636601644,742388.541090358,777475.888348046,761322.33747903
"Q3V1V3","Esf1","ESF1 homolog",71436.0608304645,60391.8619637739,63687.8458029344,65797.441093478,67741.9640280459,59804.8213456377,60182.5677298788,56034.7476395693
"Q3V209","Tmub2","Transmembrane and ubiquitin-like domain-containing protein 2",752.98648695003,735.357369338381,1065.68899759408,996.53897502472,1267.27111314681,1180.92211461482,1089.39463017002,776.575703181498
"Q3V384","Lace1","Lactation elevated protein 1",131934.806352986,133357.957326166,169029.834347224,141095.226997902,162321.77461346,142894.817377028,158566.990864497,161111.308233138
"Q3V3Q7","Pacs2","Phosphofurin acidic cluster sorting protein 2",36943.8659784713,29445.8735195466,30271.6919479853,40553.9526615712,35306.9245825659,41995.4258999677,35870.3190709374,38878.9324689626
"Q3V3R1","Mthfd1l","Monofunctional C1-tetrahydrofolate synthase, mitochondrial",463017.653026423,374056.20123471,351181.504419658,365715.269945523,344056.335608978,409323.67065267,366512.886208181,356436.300599567
"Q3V3R4","Itga1","Integrin alpha-1",604318.441268477,650963.481846001,600746.328334608,625748.277676049,624254.861772969,630922.175873254,636649.59980155,561860.715055617
"Q3V4B5","Commd6","COMM domain-containing protein 6",112127.370381545,125078.391888705,144479.442330338,120675.70600069,136445.922748183,134749.513959961,112912.690012192,161079.517504988
"Q45VK7","Dync2h1","Cytoplasmic dynein 2 heavy chain 1",8807.50793783907,9915.76774393391,8629.42426283963,10100.7859551864,9391.9653548724,11355.2073429484,12622.2402484156,10505.8101461095
"Q497V5","Srbd1","S1 RNA-binding domain-containing protein 1",39426.5232099526,31918.7051134142,29386.7543497358,28864.5791178715,35519.6982074921,32610.1846516976,40592.9671449333,30447.4160592518
"Q499E5","Stox2","Storkhead-box protein 2",1372.2815765795,1445.83765821187,1615.06130862783,1032.97243205277,1221.62149907172,1109.102438919,1315.60822547386,1765.41091966689
"Q4FK66","Prpf38a","Pre-mRNA-splicing factor 38A",104202.613688547,110442.618277417,99482.1186242177,108195.12415198,112372.843777735,117640.426195469,101215.634850385,110340.592421476
"Q4FZC9","Syne3","Nesprin-3",10071.6259148089,10766.5991677572,11854.2539242747,10194.8514145648,11412.2315804907,10072.5828949082,10067.1029529442,12552.6510504898
"Q4KML4","Abracl","Costars family protein ABRACL",967483.667972839,1054106.21868819,1104859.81119746,968176.762924081,1031176.98311376,1043136.01614381,1023403.82829345,1063332.07057031
"Q4KMM3","Oxr1","Oxidation resistance protein 1",15079.780663748,14683.5981904977,13709.0597681938,14932.8793343618,14534.6307955705,15061.4672785743,12859.3091524815,14549.4882160128
"Q4KWH5","Plch1","1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase eta-1",43091.8508194528,44524.5795026155,41911.6926989093,45658.3293590291,47574.4631506895,45946.3589592546,48022.7820335544,43570.7311901755
"Q4LDD4","Arap1","Arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 1",65968.192217513,62577.5800968632,90170.6331233937,73435.3352271337,83234.8928426278,74999.8995582639,72436.3714393794,77023.0376393558
"Q4PJX1","Odr4","Protein odr-4 homolog",82430.4655769248,67208.2650039166,63691.2933220512,67433.3921761278,65913.8302365075,69167.513849465,60882.4591626041,61749.2848505781
"Q4PZA2","Ece1","Endothelin-converting enzyme 1",30161.2322378917,22058.957483955,22211.7572842025,20889.9963975879,24556.053606745,25133.7462820479,25107.0412486067,22499.9391233038
"Q4U2R1","Herc2","E3 ubiquitin-protein ligase HERC2",8099.8309711169,8778.24819723856,7883.86783453233,7390.97600537456,7959.88280077764,9186.1315803607,8112.22743435672,7822.15993659667
"Q4VA53","Pds5b","Sister chromatid cohesion protein PDS5 homolog B",609742.773382787,619674.173092806,574711.576542671,559018.08084126,615798.077334989,571179.956163131,626538.523648705,527365.929099968
"Q4VA61","Dscaml1","Down syndrome cell adhesion molecule-like protein 1 homolog",8570.56356090481,6881.55235845779,4817.19818246427,5919.30130701545,5786.41096829832,8247.71483050724,7512.42562818306,6061.46635078425
"Q4VAA2","Cdv3","Protein CDV3",88940.5181349659,99782.6129385907,90090.4681641646,94035.147532024,85078.415110474,91511.4354653089,99439.9639205131,95334.8559811472
"Q4VAC9","Plekhg3","Pleckstrin homology domain-containing family G member 3",47872.3254613179,49579.6686472914,45185.4162932311,42513.9936611556,38366.7382627179,40517.2371840877,40179.9134471236,40005.7599557648
"Q4VBD2","Tapt1","Transmembrane anterior posterior transformation protein 1",39391.7125767106,36996.9284905491,30379.6398553915,39844.4777325176,35876.8999899441,38325.2682667648,34848.3929445477,36087.3988852128
"Q4VBD9","Gzf1","GDNF-inducible zinc finger protein 1",12833.5201219046,8071.04612247137,7500.78762207653,8011.70732690289,8266.70666637841,9497.01251789312,9550.831827753,6992.83213483389
"Q4VBE8","Wdr18","WD repeat-containing protein 18",137444.076412406,145388.484391521,148586.958562834,144125.523013208,125211.217444651,132852.11713985,136303.948517402,138431.495118949
"Q4VC33","Maea","Macrophage erythroblast attacher",7190.02026070252,8137.54407317194,6058.60925739712,7244.43254488395,6282.19500666191,6949.99710788496,7959.24117612562,6209.13941057631
"Q501J2","Fam173a","Protein FAM173A",41107.301259741,34851.8768109303,44939.3242668599,44521.0920743433,43780.3010648323,43117.9400808643,45639.8577720028,45267.8433196886
"Q501J6","Ddx17;Ddx5;Ddx3y;Ddx3x;D1Pas1","Probable ATP-dependent RNA helicase DDX17;Probable ATP-dependent RNA helicase DDX5;ATP-dependent RNA helicase DDX3Y;ATP-dependent RNA helicase DDX3X;Putative ATP-dependent RNA helicase Pl10",4067504.68586852,4076043.77941584,4027653.73223136,3496963.03333016,3843345.34972904,3478667.58717738,3333892.68434415,3506344.87584714
"Q501J7","Phactr4","Phosphatase and actin regulator 4",104119.253825477,109365.08174959,100048.201263206,97708.7754604944,107019.889220297,94699.9454341979,103324.333773896,106262.529089803
"Q505B7-2","Zbtb8os","Protein archease",101991.07095159,115850.530402331,111087.076357295,106859.230727619,115450.796946719,117330.355635095,115575.736436289,120937.57017186
"Q505D1","Ankrd28","Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A",187516.433894622,183769.62841436,205649.585201754,179143.406942584,190946.575743644,174455.563608121,200139.419639849,183532.590941955
"Q505D7","Opa3","Optic atrophy 3 protein homolog",54281.3807687793,61946.6276223533,63585.7383985027,56712.3784512582,55851.9159597409,61591.3990892868,55034.8515231212,60305.2679374309
"Q505F1","Nr2c1","Nuclear receptor subfamily 2 group C member 1",1727.99983413566,1540.13818424434,1591.33426529414,1310.81456776263,1169.86807595833,1515.00009831697,1056.27673903159,736.755252405625
"Q505F5","Lrrc47","Leucine-rich repeat-containing protein 47",248210.211791654,261533.32787675,279306.946507299,253028.08813973,262846.007449038,270979.78958328,259097.361350742,267553.742079047
"Q52KG5","Kif26a","Kinesin-like protein KIF26A",78254.3035281419,73298.1701520841,56296.973202113,71847.962087188,68315.3782010795,97884.444036151,85060.5435647781,80168.0123346148
"Q52KI8","Srrm1","Serine/arginine repetitive matrix protein 1",781309.253610965,759715.433816761,877276.703783761,696229.14587161,683727.196183829,767805.210297961,786875.941776977,792106.807042184
"Q566J8","Adck4","AarF domain-containing protein kinase 4",26774.4825226832,32587.10807186,41762.6381959156,30912.1591499791,40837.9212318112,31294.7399287273,35133.4827907643,42804.6771925042
