"Leading.razor.protein","Gene.names","Protein.names","pVal","phase","peak.shape","period","S1","S2","S3","S4","S5","S6","S7","S8","Av_expr","Amplitude","CV"
"Q01237","Hmgcr","3-hydroxy-3-methylglutaryl-coenzyme A reductase",0.833148558758315,24,6,24,6861.12939783158,8472.52360954032,7930.0037521256,10803.6554688601,8528.22479446963,10336.3606600872,8755.63446386265,9668.99614062112,8919.56603592478,0.442008731719621,0.145036918916248
"Q01279","Egfr","Epidermal growth factor receptor",0.442350332594235,6,18,24,1076785.62170375,1026910.83915262,1095081.63300584,1001259.03305514,1052410.41537514,1051169.6495884,1033675.06624761,996928.315466412,1041777.57169936,0.0942171536476052,0.0328696837932886
"Q01320","Top2a","DNA topoisomerase 2-alpha",0.764966740576497,6,18,24,118739.069988653,86527.1853220547,100867.919911574,89391.0073474247,92158.6960442634,95955.1284856993,76431.769022804,72698.4423384189,91596.1523076115,0.502648053333221,0.157652034093045
"Q01341","Adcy6","Adenylate cyclase type 6",0.846614950634697,6,12,24,23057.9136610507,19863.5914422617,21243.0044123648,21191.1401480908,20532.8697282399,23984.6314709148,20416.0759571332,20418.3642846515,21338.4488880884,0.193127440999404,0.0674743809542194
"Q01405","Sec23a","Protein transport protein Sec23A",0.00152439024390244,24,6,24,1929834.29921034,2020073.50149041,2022924.72203852,2094672.79307564,1954287.74658743,1965474.1740873,2028149.03671952,2065220.35493249,2010079.57851771,0.0820059542054832,0.0280981643955469
"Q01721","Gas1","Growth arrest-specific protein 1",0.828159645232816,12,12,24,71363.4690566104,71910.2199454962,66198.248105735,77851.8107363528,70482.8321936619,78792.3633641538,79293.8907703001,68786.2138018777,73084.8809967735,0.179184018444844,0.0676012595712818
"Q01730","Rsu1","Ras suppressor protein 1",0.710920177383592,12,12,24,1946099.126658,2242246.78571435,2171936.02964559,1930278.7158831,2188041.02286973,1985654.38868924,2042919.0642024,2029893.77995741,2067133.61420248,0.150918193041726,0.057314571966889
"Q01768","Nme2","Nucleoside diphosphate kinase B",0.0881374722838137,12,18,24,437634.825358073,511336.355005348,415874.839452549,464128.474943055,411392.860569341,487031.911453823,470940.459730626,464053.053178105,457799.097461365,0.218313000157108,0.0751735290465732
"Q01853","Vcp","Transitional endoplasmic reticulum ATPase",0.51410437235543,24,6,24,7918101.88390287,8812984.31989443,9165478.75682614,8712169.56655001,8586048.05161663,8155126.12016592,8380618.61430116,8930015.45520443,8582567.8460577,0.145338422637257,0.0481495514130503
"Q01965","Ly9","T-lymphocyte surface antigen Ly-9",0.833148558758315,6,18,24,7277.7430564725,6036.58229846384,7221.74136885304,4493.65717143813,6660.97504360139,5539.33306875938,5764.81291163689,5862.6204737448,6107.18317412125,0.455870702688555,0.151936843297329
"Q02013","Aqp1","Aquaporin-1",0.917960088691796,24,12,24,3411.06146146471,2706.80893865711,4403.91161868751,4569.78236213902,3796.74116009875,4163.92043604022,2846.25275799233,3565.63781419448,3683.01456865927,0.505828415487395,0.186174652366143
"Q02053","Uba1;Uba1y","Ubiquitin-like modifier-activating enzyme 1;Ubiquitin-like modifier-activating enzyme 1 Y",0.184312638580931,6,18,24,4146286.64433392,4115963.19428577,3759328.15822723,3873517.177753,3847959.42530702,3917526.33466651,3730906.59632597,3414049.92107718,3850692.18149708,0.190157168826738,0.060194873198251
"Q02248","Ctnnb1","Catenin beta-1",0.080394922425952,6,12,24,1606688.3326131,1504616.46247572,1484432.85231592,1549647.94407865,1566042.27506485,1525486.358492,1478506.39254026,1464063.02851539,1522435.45576199,0.0936823321855215,0.0322252200277784
"Q02257","Jup;Ctnnb1","Junction plakoglobin;Catenin beta-1",0.914315937940762,6,12,24,953100.099973932,855215.122270043,853699.181382128,946367.034018195,818163.865353405,850665.798685419,803541.214175571,770176.496236881,856366.101511947,0.213604442555693,0.075389787485739
"Q02357","Ank1","Ankyrin-1",0.442350332594235,18,6,24,8812.93839662483,7117.77050782626,10673.3163905564,7699.50518293894,8767.64885322506,7786.40763287849,9264.36206940564,5887.67361854147,8251.20283149964,0.579993350029568,0.176620654380592
"Q02614","Sap30bp","SAP30-binding protein",0.416574279379157,6,12,24,28821.2549289608,23242.2267908047,20290.1709670374,25362.1291960393,23555.7166775967,24534.5736702838,19798.5192815437,18899.4853342486,23063.0096058144,0.43020272567596,0.143399564866914
"Q02788","Col6a2","Collagen alpha-2(VI) chain",0.833148558758315,6,18,24,414218.687073873,377131.77813804,358215.112642352,341437.100274245,331834.068390707,309575.69343193,293982.717541566,286687.55584498,339135.339167212,0.376047897403029,0.127886410579837
"Q02819","Nucb1","Nucleobindin-1",0.920310296191819,6,18,24,537217.705984813,579637.30271619,512385.348694465,497466.677767782,572902.91454985,536715.719739602,561221.220085512,551571.081860926,543639.746424892,0.151149038474067,0.0525919455377079
"Q03145","Epha2","Ephrin type-A receptor 2",0.710920177383592,12,18,24,46692.4770653005,53141.5105183574,38623.3678471513,51544.2580143495,42065.2166942143,59652.5717369341,48052.4041472949,53702.4362514784,49184.2802843851,0.427559451275718,0.137667459848313
"Q03146","Ddr1","Epithelial discoidin domain-containing receptor 1",0.914315937940762,6,12,24,494500.826023808,461189.223346618,457249.428952576,449670.61284924,441251.92066238,422458.32442027,414620.082066482,452709.506069884,449206.240548907,0.177826434155758,0.0548354650309812
"Q03147","Cdk7","Cyclin-dependent kinase 7",0.0289634146341463,24,6,24,20035.3295837318,18666.835811557,21695.4405976422,22440.4424022261,15157.3912557588,17485.7105490291,20343.860555623,23135.2409326175,19870.0314610232,0.401501612743188,0.134765651512775
"Q03157","Aplp1","Amyloid-like protein 1;C30",0.76163610719323,12,6,24,38692.7150612101,41363.8001548076,42759.0726183092,43267.4454513482,48045.9179220413,52581.5245409582,44176.782936821,45474.6881541334,44545.2433549536,0.311791078770784,0.0956330349738365
"Q03173","Enah","Protein enabled homolog",0.881513303769401,18,18,24,232107.481218037,208447.495127723,198331.718888113,246328.577679773,198037.224555885,225246.559816781,269381.128907046,219456.626504773,224667.101587266,0.317553855669648,0.109250362586167
"Q03265","Atp5a1","ATP synthase subunit alpha, mitochondrial",0.662527716186253,24,12,24,11630752.8226882,11545601.7045419,11798400.5352455,11895162.1595604,12423333.4451664,11808277.7962274,11969029.2927983,12346106.8230173,11927083.0724057,0.0735914837933181,0.0262973513603853
"Q03347","Runx1","Runt-related transcription factor 1",0.923579946146942,6,18,24,7042.23751904558,5173.76879460016,5494.02730320075,4987.73039357463,5434.02345776384,6275.05423177598,5702.53287746824,5623.8823604143,5716.65711723043,0.359389601884379,0.115150400352947
"Q03958","Pfdn6","Prefoldin subunit 6",0.833148558758315,12,18,24,413852.107898745,446170.126914988,423983.505813025,439225.466546962,435981.840357236,460155.955577569,455241.475401309,458373.793420269,441623.033991263,0.104849258564127,0.0377948461977535
"Q03963","Eif2ak2","Interferon-induced, double-stranded RNA-activated protein kinase",0.0193935119887165,6,12,24,214190.661793568,184496.11593224,177992.735106285,183335.732765773,186394.939553049,196872.621762544,179780.656033214,180555.99430008,187952.432155844,0.192590892664102,0.0643626332621786
"Q04207","Rela","Transcription factor p65",0.0289634146341463,12,18,24,202895.864489318,219597.448238107,210788.72083116,209803.691434356,192530.815081075,216771.230301805,210223.283925475,191946.396839565,206819.681392608,0.133696421986318,0.0496910414437898
"Q04447","Ckb","Creatine kinase B-type",0.739421720733427,24,6,24,214211.13972875,255054.394155841,231595.309882379,279289.304218419,267011.100589226,270431.265543939,279607.179338626,276727.110512741,259240.85049624,0.252259778829974,0.0935552967226288
"Q04690","Nf1","Neurofibromin",0.76163610719323,12,6,24,355743.228383735,364587.204277807,373025.11736099,372861.578995571,384179.15692584,385285.412473273,368447.670206145,381009.723308456,373142.386491477,0.0791713435916848,0.0273529171788936
"Q04692","Smarcad1","SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A containing DEAD/H box 1",0.764966740576497,24,18,24,96268.2028465963,77932.7972153413,75480.5919302595,84560.079048989,68662.177717424,71317.950937401,68905.084302603,76743.7407099504,77483.8280885706,0.356281120979416,0.119198752360307
"Q04736","Yes1","Tyrosine-protein kinase Yes",0.0881374722838137,12,6,24,114235.409502329,133601.437342226,91075.6474506179,113930.382196393,108898.744805252,123802.432813597,105388.121157258,89699.7955905125,110078.996357273,0.398819422455725,0.136204477566363
"Q04750","Top1","DNA topoisomerase 1",0.750554323725055,6,18,24,417705.969897884,302782.909242601,268864.816692815,323522.581855806,340602.258849523,308438.359478742,403939.654168482,265400.279174482,328907.103670042,0.463065981317918,0.172068211538047
"Q04857","Col6a1","Collagen alpha-1(VI) chain",0.220028208744711,12,12,24,546172.170491947,578641.628174163,534692.673236539,542110.113193354,516460.089696804,561323.267873033,540720.914291917,500050.412517139,540021.408684362,0.14553351847382,0.0451924248863953
"Q04899","Cdk18","Cyclin-dependent kinase 18",0.442350332594235,24,18,24,17079.2106088164,15661.5641518928,14809.7309450619,17659.958150391,15597.2953522226,17608.4826885825,16597.9050883702,19971.8583802525,16873.2506706987,0.305935562502778,0.0956503396196353
"Q05186","Rcn1","Reticulocalbin-1",0.0881374722838137,24,18,24,235505.166113502,235578.897617746,218130.111392892,243952.306649165,236752.481717775,242864.260545545,234003.567258591,243139.385816717,236240.772138992,0.109304566787822,0.0352406345215998
"Q05512","Mark2;Mark3;Mark1;Mark4","Serine/threonine-protein kinase MARK2;MAP/microtubule affinity-regulating kinase 3;Serine/threonine-protein kinase MARK1;MAP/microtubule affinity-regulating kinase 4",0.662527716186253,12,12,24,144293.695094179,129456.88253967,123412.666983417,127337.79564706,122464.589346562,139003.791449203,132611.211661326,118955.982300775,129692.076877774,0.195368239937148,0.0665184582474623
"Q05769","Ptgs2","Prostaglandin G/H synthase 2",0.920310296191819,6,18,24,818648.716908434,671158.733114144,667042.830735174,618297.487610329,604088.650432733,605128.579989679,593530.933486601,586580.057206713,645559.498685476,0.359484540424658,0.119070696468962
"Q05793","Hspg2","Basement membrane-specific heparan sulfate proteoglycan core protein;Endorepellin;LG3 peptide",0.0807926829268293,24,6,24,7384862.55987301,7462619.0143948,7891542.69145052,8210441.67509191,7848093.377981,7920511.70169092,8144093.00003999,8143555.58392811,7875714.95055628,0.104825926332007,0.0392945073979173
"Q05816","Fabp5","Fatty acid-binding protein, epidermal",0.764966740576497,6,12,24,288091.872427702,296494.028947095,331197.280494718,252941.891912127,259240.375690236,225750.614409535,213746.825155491,246229.85479581,264211.592979089,0.444531801254166,0.14728632939783
"Q05860-5","Fmn1","Formin-1",0.662527716186253,6,12,24,7495.42554967949,6059.82027187558,5048.38475853606,6294.89174206886,5761.30797901409,5232.80790845535,5566.0135706643,4881.5175827513,5792.52117038063,0.451255660539335,0.145508943426567
"Q05895","Thbs3","Thrombospondin-3",0.753526093088858,6,18,24,28374.8433682647,24458.6932025284,18212.3309157816,25521.7847516338,24809.0607898392,29345.2763761658,28396.8437624988,26792.8154816062,25738.9560810398,0.432532905582177,0.137227276670902
"Q05909","Ptprg","Receptor-type tyrosine-protein phosphatase gamma",0.833148558758315,24,18,24,55601.3999813181,50059.1593308141,47794.7826742098,56036.4341509491,58581.0923221287,58556.8405211348,58427.3194995423,58873.3520111278,55491.2975614031,0.199645166427387,0.0770774246316987
"Q05920","Pc","Pyruvate carboxylase, mitochondrial",0.963137472283814,24,6,24,299818.228755799,316482.005791681,323303.171500456,368305.619625259,350520.604660178,405060.843684402,380393.477528058,396785.615775894,355083.695915216,0.29638819280999,0.10973188882796
"Q05921","Rnasel","2-5A-dependent ribonuclease",0.881513303769401,12,18,24,4964.83175551499,4846.5698296866,4129.51951627178,5259.74712558623,5191.16063335303,5971.9731743967,5693.79343397338,5561.83916515444,5202.42932924214,0.354152558645773,0.110192242444076
"Q05BC3","Eml1","Echinoderm microtubule-associated protein-like 1",0.212860310421286,24,6,24,143074.487475509,152568.706952892,148594.157793931,150146.324574491,139275.167191142,140538.64578791,158988.875999943,159897.107519292,149135.434161889,0.138276597000848,0.0527898452529987
"Q05CL8","Larp7","La-related protein 7",0.0193935119887165,12,12,24,104740.18269416,126046.917423402,106227.828581367,92033.0846372874,108639.865929801,106500.799436182,104137.304406031,83506.2438918031,103979.028375004,0.409127438450131,0.119600917853588
"Q05D44","Eif5b","Eukaryotic translation initiation factor 5B",0.739421720733427,12,12,24,686582.836917748,775273.464497828,719554.225151732,690528.938985042,764798.503645237,711457.761803063,740364.163526613,713769.632996783,725291.190940506,0.122282786124939,0.044676891038304
"Q06138","Cab39;Cab39l","Calcium-binding protein 39;Calcium-binding protein 39-like",0.0886917960088692,18,18,24,341053.233983943,374781.620220776,437791.732454639,406741.435755014,376406.428945856,370556.605018373,395558.159880342,409419.456244049,389038.584062874,0.248660421957175,0.0762215543001628
"Q06180","Ptpn2","Tyrosine-protein phosphatase non-receptor type 2",0.914315937940762,6,12,24,125608.461110107,102818.48817931,102617.028875275,130566.254123763,114793.992706543,124702.761836988,120605.884129505,100760.20011673,115309.133884778,0.258488230748629,0.102831858886838
"Q06185","Atp5i","ATP synthase subunit e, mitochondrial",0.0881374722838137,12,6,24,159674.982255981,168989.862360681,141179.963740261,163445.03006801,169288.713831249,171844.528402571,144942.290450149,164667.767756463,160504.142358171,0.191051546781148,0.0714282335105726
"Q06194","F8","Coagulation factor VIII",0.613540197461213,6,18,24,27556.0972744115,22649.762209758,19389.253103705,20963.5544612354,21137.2327921719,21868.0276293573,22004.9987786411,21743.8325470212,22164.0948495377,0.368471811104745,0.107575474862144
"Q06335","Aplp2","Amyloid-like protein 2",0.220028208744711,6,12,24,280339.43301067,268963.68024925,250797.991363289,275603.176355911,273292.401516817,302980.084385289,265463.337581855,270031.860103536,273433.995570827,0.190839814607044,0.0541189968046237
"Q06890","Clu","Clusterin;Clusterin beta chain;Clusterin alpha chain",0.914315937940762,24,12,24,817710.59354965,816921.95057512,779302.671977928,884996.317195018,936848.202421185,972745.845756055,983207.81587147,1085484.46524942,909652.232824481,0.336592141725189,0.114319526621507
"Q07076","Anxa7","Annexin A7",0.0881374722838137,24,6,24,556973.937835464,578530.936577599,611132.283867012,657244.26075938,633257.63622788,642865.210547743,648169.014275056,654177.195225056,622793.809414399,0.16100083431818,0.0599418871532408
"Q07417","Acads","Short-chain specific acyl-CoA dehydrogenase, mitochondrial",0.110014104372355,24,6,24,633325.538564772,645045.060492698,690330.011188595,728337.290021537,715964.248696701,700695.953134622,725576.565162597,754290.402748572,699195.633751262,0.173005748812833,0.0597417475391961
"Q07797","Lgals3bp","Galectin-3-binding protein",0.930570953436807,24,6,24,140493.682823957,134040.085212658,154780.12246341,169121.836604128,174695.450683537,200762.280178914,190114.358009822,227511.268959806,173939.885617029,0.537376366642827,0.181184647394143
"Q07813","Bax","Apoptosis regulator BAX",0.258110014104372,12,18,24,259766.69222953,302812.164191271,299232.998617024,273252.112538255,296732.206001086,286685.911891654,285975.216238521,270485.667620335,284367.87116596,0.151372487282923,0.053883296185089
"Q08024","Cbfb","Core-binding factor subunit beta",0.314174894217207,6,18,24,301759.176837021,255876.74868814,218808.258682703,242761.55463898,229260.528953552,261067.762662953,229321.157422328,218306.314899435,244645.187848139,0.341117937661576,0.114516111912285
"Q08091","Cnn1","Calponin-1",0.753526093088858,12,18,24,835696.941412248,837831.333813672,871044.866830504,854762.402886131,861031.088167594,861350.631653491,826333.278035945,855235.204445116,850410.718405588,0.0525764643211313,0.0180804813649882
"Q08093","Cnn2;Cnn3","Calponin-2;Calponin-3",0.421808885754584,6,18,24,3009281.04065866,2903507.58415433,2712460.73915522,2928920.5727808,2847815.86654836,2945941.05029895,2848904.95830708,2643383.25283253,2855026.88309199,0.128159139233695,0.0429137697594286
"Q08122","Tle3;Tle1;Tle4;Tle2","Transducin-like enhancer protein 3;Transducin-like enhancer protein 1;Transducin-like enhancer protein 4;Transducin-like enhancer protein 2",0.0734478935698448,6,18,24,78977.4364160235,66181.3333128325,60503.7577056509,57707.1401844766,64788.4941757863,62743.7554090551,52819.7245766709,56638.7714744132,62545.0516568636,0.41822192397985,0.127529904638926
"Q08274","Dmwd","Dystrophia myotonica WD repeat-containing protein",0.0315964523281596,12,6,24,5666.33563660891,5890.41129606587,3792.57522140926,4485.16590503051,3984.92761058911,6125.33705169357,3871.0215033714,4468.4432182774,4785.52718038075,0.487461828625265,0.20051895258153
"Q08509","Eps8","Epidermal growth factor receptor kinase substrate 8",1,6,18,24,1313955.31162202,1229051.7557783,1214793.88506565,1319047.09738395,1192681.25996797,1275389.08674559,1294007.50415187,1187162.26884144,1253261.0211946,0.105233328342725,0.0429335313554532
"Q08639","Tfdp1","Transcription factor Dp-1",0.212860310421286,24,18,24,6055.37927372212,6296.55712600771,6459.53545116372,7782.04819127349,7469.25691089711,7337.05349834158,5294.99882818154,9276.73957554846,6996.44610689197,0.569109042867441,0.176836536145277
"Q08943","Ssrp1","FACT complex subunit SSRP1",0.846614950634697,18,12,24,700645.942868446,733825.737912261,756841.922695391,714261.43618041,686865.069844358,663855.7010113,673794.718496547,697023.097813419,703389.203352766,0.132197396890461,0.0438576100709715
"Q09143","Slc7a1","High affinity cationic amino acid transporter 1",0.110014104372355,12,18,24,30613.8632983937,34090.3144769321,36976.6704807452,31868.9076556751,29735.8663134353,36346.428542198,32914.58408449,35154.3922893877,33462.6283926571,0.216384800450965,0.0788763264494558
"Q09200","B4galnt1","Beta-1,4 N-acetylgalactosaminyltransferase 1",0.881513303769401,6,18,24,10217.3385841423,9184.3940271804,8052.49207839521,8287.67348515059,9706.17396971809,9794.72482659555,10986.2164261775,9734.01330722402,9495.37833807296,0.308963397068565,0.102043983484545
"Q09XV5","Chd8","Chromodomain-helicase-DNA-binding protein 8",0.416574279379157,18,12,24,35866.2772986657,37545.8218714488,37287.7583822313,36146.1362693748,36309.8405859558,31834.1472250323,42083.2722461624,36833.6605908426,36738.3643087142,0.278976084373442,0.0762126568136292
"Q0GNC1","Inf2","Inverted formin-2",0.750554323725055,18,12,24,252770.441877706,254815.540986273,260147.906562504,280513.330144643,263043.848234105,316830.361962368,311311.175710207,276791.358548824,277027.995503329,0.231239878728763,0.089820608385037
"Q0HA38","Ttc21b","Tetratricopeptide repeat protein 21B",0.00317348377997179,18,12,24,76734.703351682,80050.9177436311,83934.638867672,82657.6404310581,75772.4962692132,80559.0260891262,82750.3130742753,78888.5380773262,80168.534237998,0.101812296757574,0.0365089172524546
"Q0KL01","Ubxn2b","UBX domain-containing protein 2B",0.562915742793792,12,12,24,4919.16020470142,4914.10518991448,3616.34615596506,4213.84032261022,3151.11290830223,4418.48016103825,4261.90461294684,3769.55995266428,4158.06368851785,0.425209287024994,0.149111197769108
"Q0KL02","Trio","Triple functional domain protein",0.914315937940762,6,12,24,169623.954064916,157233.315151488,145571.494709414,162710.831730718,148091.560547532,154676.283105489,156211.572851418,145563.488602489,154960.312595433,0.155268565605205,0.0548411348244469
"Q0P5W1","Vps8","Vacuolar protein sorting-associated protein 8 homolog",0.0881374722838137,24,6,24,225403.027518302,237764.926973694,250324.363075205,251177.584476804,224264.260363717,246933.062962575,243635.445925491,245897.180208334,240674.981438015,0.111824353126702,0.0441297134948675
"Q0P678","Zc3h18","Zinc finger CCCH domain-containing protein 18",0.405487804878049,6,18,24,110402.341054779,96435.2036168197,83271.6809414998,79605.4942151008,82311.6702333012,81027.4848651811,66057.2216471248,77311.0513813183,84552.7684943906,0.524466793900381,0.157885120854998
"Q0VBK2","Krt80","Keratin, type II cytoskeletal 80",0.254573170731707,6,12,24,32613.3860718174,12157.4022505452,10370.9486844836,54131.8233485884,14258.8417900095,10906.6635855702,7522.36099552459,6812.13773806055,18596.6955580749,2.5445211738158,0.887733943075505
"Q0VBL3-2","Rbm15","",0.0807926829268293,6,18,24,343454.889192579,337115.251362254,287507.884702962,301729.944091957,333533.79007576,315333.645998696,325342.655821877,286300.457581926,316289.814853501,0.180702725559233,0.0706120590019322
"Q0VBM2","Fam83b","Protein FAM83B",0.750554323725055,6,12,24,40547.7040854127,33099.5883783511,32399.6832626292,40545.0072111464,33637.0599803161,33588.6137737653,36078.6306061981,30665.9516775968,35070.279871927,0.281769989971652,0.105405983505029
"Q0VEE6","Znf800","Zinc finger protein 800",0.416574279379157,6,18,24,81677.534786988,72369.8961070472,78301.1695559564,74528.4376736312,82528.8282844381,70236.0974304456,79514.4927229389,68721.6068382187,75984.757924958,0.18171040907777,0.0692909864805113
"Q0VGB7","Ppp4r2","Serine/threonine-protein phosphatase 4 regulatory subunit 2",0.920310296191819,24,18,24,176208.083650496,183236.29617637,177388.040253188,193498.386482948,192018.009152718,163463.506529446,161880.61986118,174502.485886407,177774.428499094,0.177853287948717,0.0655538959786898
"Q0VGT2","Gli2","Zinc finger protein GLI2",0.753526093088858,6,18,24,3493.88292007421,3559.7463038208,3086.74638104271,2193.13613603924,3818.83522943454,3152.18481274721,3830.82006329503,4027.77245075485,3395.39053715107,0.540331456614995,0.172643583212772
"Q0VGY8","Tanc1","Protein TANC1",0.930570953436807,18,18,24,184934.468888628,171325.818141515,182597.41401472,196507.010021783,179390.345851335,184227.658652558,187899.267861029,174405.339574225,182660.915375724,0.137857580689726,0.0431131006725148
"Q10470","Mgat3","Beta-1,4-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase",0.212860310421286,18,6,24,20342.6842681703,22053.2517315548,22588.8550370143,15361.5895522908,17182.996165057,15929.1786213253,20391.1455446373,16086.9288496257,18742.0787212094,0.385617070135597,0.156032329387018
"Q11011","Npepps","Puromycin-sensitive aminopeptidase",0.764966740576497,24,6,24,2136148.13159076,2198153.45735223,2160059.63048087,2260088.76455965,2236211.72500049,2273552.23988126,2310985.97399552,2370552.91646042,2243219.10491515,0.104494823691566,0.0347235155199919
"Q11136","Pepd","Xaa-Pro dipeptidase",0.846614950634697,18,12,24,574998.976556555,582073.679739268,585509.145578104,597250.600255512,639144.888999022,637219.312882606,659046.125648761,635782.433848015,613878.14543848,0.136911779180822,0.0526325925684989
"Q11204","St3gal2","CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase 2",0.846614950634697,12,12,24,123593.528829702,120950.539379539,107546.372826659,112131.122338881,108734.629714349,126161.542019916,130490.93067533,121886.677233232,118936.917877201,0.192913674393014,0.071078945004715
"Q148V7","Kiaa1468","LisH domain and HEAT repeat-containing protein KIAA1468",0.562915742793792,6,12,24,52490.2576530314,52136.0532044886,51940.3230146128,56791.9593899156,53071.3300508053,50068.7070470501,52026.2751014795,49600.8170157539,52265.7153096422,0.13758813653575,0.0417275375731874
"Q148V8","Fam83h","Protein FAM83H",0.0315964523281596,6,6,24,6913.94873200419,5618.09129514701,6255.52343754248,6314.93508021708,7628.64369902371,5522.11255413556,6541.61144711701,6257.5433579526,6381.55120039246,0.330097037340796,0.106305198509276
"Q149L6","Dnajb14","DnaJ homolog subfamily B member 14",0.739421720733427,6,18,24,51554.0836897083,47046.522063506,41955.3950735965,49559.7700663636,46050.1443048034,49634.1828145186,48621.9398807337,40864.724920222,46910.8453516815,0.22786540488346,0.0808892996948544
"Q14AI6","Rpusd3","RNA pseudouridylate synthase domain-containing protein 3",0.750554323725055,24,18,24,1394.65321020973,1776.56381551828,897.632580409261,1896.61321423262,1449.00987803334,1618.42448320475,1413.76597504246,1649.93879096838,1512.07524345235,0.660668599759955,0.20200898795268
"Q14AX6","Cdk12","Cyclin-dependent kinase 12",0.201692524682652,6,12,24,114239.679606673,100478.787350083,95662.9772260844,105272.351265952,107800.403054925,112764.386831161,102920.838267446,97582.2553598576,104590.209870273,0.177614161054175,0.0645638995152699
"Q14C51","Ptcd3","Pentatricopeptide repeat domain-containing protein 3, mitochondrial",0.0315964523281596,12,18,24,294452.471333691,318561.493189174,312601.767968859,296464.66776964,275982.436129133,329395.01669592,314641.124467691,318029.316872597,307516.036803338,0.173690390660651,0.0559877869199603
"Q14CH1","Mocos","Molybdenum cofactor sulfurase",0.881513303769401,12,18,24,14335.3900824999,19474.0441647568,18029.8151978302,23319.0910041032,27030.3314649282,33237.3152754393,30602.863288886,33090.1485251138,24889.8748754447,0.759422266585489,0.289879541331354
"Q14CH7","Aars2","Alanine--tRNA ligase, mitochondrial",0.562915742793792,24,12,24,126243.778373864,122208.29469045,107412.527966828,132520.430225387,128675.77384244,131930.515716041,140682.777684896,132798.793395241,127809.111486893,0.260312033555447,0.0771386271006104
"Q1HFZ0","Nsun2","tRNA (cytosine(34)-C(5))-methyltransferase",1,6,18,24,548666.078520092,561895.649469278,572548.461092084,535404.165168631,515067.31223415,504412.272972213,501283.99153307,532121.011880346,533924.867858733,0.133472842058874,0.0489879879154754
"Q2EMV9","Parp14","Poly [ADP-ribose] polymerase 14",0.442350332594235,12,18,24,1641.9479487613,2221.71624368698,2666.85883213338,2610.47200640826,2129.6275703733,2954.63512086851,2043.3738832407,1812.48170747561,2260.13916411851,0.580799268004004,0.199175317596246
"Q2HXL6","Edem3","ER degradation-enhancing alpha-mannosidase-like protein 3",0.920310296191819,12,6,24,175202.4740774,172244.734752616,152897.067242257,169189.964206701,151069.961450793,163509.394136061,159624.555521517,163272.770095108,163376.365185307,0.147711161276205,0.0531426453302922
"Q2KN98","Specc1l","Cytospin-A",0.254573170731707,6,12,24,1174640.35397098,1136272.89166639,1097001.69835869,1201144.03670449,1142178.53311727,1139731.04882322,1135498.2304121,1048124.20662939,1134323.87496032,0.134899593892841,0.0408226535714336
"Q2MHN3","Zfhx2","",0.258110014104372,6,18,24,31743.5843825426,22670.5104003042,18011.2594331718,21579.6649540674,21871.4092595943,23875.7370402053,22994.8557471117,15593.8649110977,22292.6107660119,0.724442715164944,0.212002893319706
"Q2NL51","Gsk3a","Glycogen synthase kinase-3 alpha",0.442350332594235,6,18,24,378445.052473808,350124.263093768,347287.866189314,321888.408014962,326952.680364505,324196.852411002,329519.061079201,312542.442295434,336369.578240249,0.195923217917476,0.0629646365399556
"Q2PZL6","Fat4","Protocadherin Fat 4",0.920310296191819,12,6,24,6404.87803147236,6988.40553977071,6391.3962497952,8245.21715311248,6065.63873951471,7888.41385773843,6022.85648009044,5430.98442606092,6679.72380969441,0.421309743820128,0.144633268884536
"Q2TBE6","Pi4k2a","Phosphatidylinositol 4-kinase type 2-alpha",0.750554323725055,24,12,24,263763.686269725,234903.440274515,252073.015749611,255156.749892465,249954.848729312,260568.884354301,267770.477069185,313297.923312228,262186.128206418,0.299003168375077,0.0876213157150438
"Q2TPA8","Hsdl2","Hydroxysteroid dehydrogenase-like protein 2",0.220028208744711,6,12,24,177798.69751877,148144.985246537,118722.215827308,143939.603773143,145809.509689484,154695.630860154,141374.573633121,158032.530037945,148564.718323308,0.397648125060886,0.112439299754432
"Q2VPA6","Helq","Helicase POLQ-like",0.662527716186253,24,18,24,4809.25143201183,4967.11681676002,4138.9494950326,4893.73404915538,4708.10002791433,3761.6694738567,4060.80541842297,4710.15530295093,4506.22275201309,0.267507269223387,0.100104784793555
"Q2VPQ9","Meaf6","Chromatin modification-related protein MEAF6",0.886212457165894,24,18,24,18922.1319468285,15447.0278616451,17717.2063320279,16486.8798226125,14439.3769869166,19222.1462059795,12149.6663406987,20507.0706712627,16861.4382709964,0.495651924601217,0.164799475340349
"Q2YDW2","Msto1","Protein misato homolog 1",0.917960088691796,18,12,24,108168.890825969,118353.239390585,128481.229868549,113757.19985594,120908.719825788,120921.238122742,116492.826038397,128474.639062469,119444.747873805,0.170056359983616,0.0580826462095735
"Q31125","Slc39a7","Zinc transporter SLC39A7",0.442350332594235,12,18,24,6650.13054620706,9165.20195092517,7262.40181490777,6757.96196825195,5605.1880182601,8964.49342743763,6725.96770778757,9201.05713240503,7541.55032077279,0.476807680277662,0.182886101588104
