"Leading.razor.protein","Gene.names","Protein.names","pVal","phase","peak.shape","period","S1T","S2T","S3T","S4T","S5T","S6T","S7T","S8T","FCav","anova_pval"
"P57759","Erp29","Endoplasmic reticulum resident protein 29",0.753526093088858,6,18,24,66867.7239029887,67824.0548755895,81065.8722000823,57019.2220559314,69241.9129946116,66905.9818250111,60794.372917572,69687.8364553436,1.11959228463212,0.848807183683498
"P57776","Eef1d","Elongation factor 1-delta",0.920310296191819,18,6,24,2072511.18884059,2179528.12084954,2139020.27826522,2039729.10988986,2100150.72961437,2013430.77327947,2074332.10878184,2049014.26026257,1.0304761159148,0.782063965267585
"P57780","Actn4","Alpha-actinin-4",0.920310296191819,12,18,24,7652656.11002413,8373418.74296675,8591859.57979712,8200220.68434568,8100984.56752697,8070598.2662837,8043428.51778449,7958096.67464952,1.05596467750384,0.511336054807849
"P57784","Snrpa1","U2 small nuclear ribonucleoprotein A",0.416574279379157,6,12,24,15781.6047364477,14990.4932890413,12628.8578025737,11540.7521822512,13440.1548121393,9987.75218324213,9191.25374080142,10930.5645841767,1.33921219836565,0.489959977287759
"P58021","Tm9sf2","Transmembrane 9 superfamily member 2",0.914315937940762,18,12,24,16881.3567428136,13775.2769108633,14724.9693076022,14439.7199060705,13739.5680615285,17964.2444760924,17574.8835859258,15980.458344888,1.06179038883542,0.968466603455353
"P58022","Loxl2","Lysyl oxidase homolog 2",0.314174894217207,18,18,24,234122.865685416,224487.791943737,252183.285529632,241925.099389038,250682.096971372,251486.968730209,264892.101695903,272510.158778702,1.08635043272755,0.545566703000806
"P58044","Idi1","Isopentenyl-diphosphate Delta-isomerase 1",0.0315964523281596,6,18,24,366371.056510555,344599.000421782,331545.163368799,330199.61485827,382286.435722675,333176.176506522,359148.024225014,317346.581465124,1.15614530126796,0.068957249032717
"P58242","Smpdl3b","Acid sphingomyelinase-like phosphodiesterase 3b",0.917960088691796,6,12,24,106871.611747291,101526.432380372,97209.3240904064,95794.9403326548,91784.5424769858,86457.0398835753,75547.1162693367,88008.7271206003,1.14992039550364,0.714981586928525
"P58252","Eef2;Eftud2","Elongation factor 2;116 kDa U5 small nuclear ribonucleoprotein component",0.923579946146942,6,6,24,13271010.5720841,11469810.1398623,11865749.6428694,12068017.1094838,12061100.5647242,12597182.2708561,12613731.1334931,12018799.5612434,1.05256654859485,0.752565294088411
"P58281","Opa1;Tlr8","Dynamin-like 120 kDa protein, mitochondrial;Dynamin-like 120 kDa protein, form S1;Toll-like receptor 8",0.710920177383592,12,18,24,32506.8947614152,40355.5197901311,38192.6925312228,38699.6584039096,37696.0934437965,39668.3145317012,34705.1564035074,45272.2216666255,1.19612971210108,0.264023942743822
"P58466","Ctdsp1","Carboxy-terminal domain RNA polymerase II polypeptide A small phosphatase 1",0.220028208744711,24,12,24,9158.52923517994,8991.30396340274,9296.20243916871,11085.3807359241,10928.583602708,9813.59959506885,10489.5649130201,10750.4603221772,1.16117804008967,0.431302243020084
"P58468","Fam207a","Protein FAM207A",0.258110014104372,6,18,24,33797.0836544886,28583.6342052069,22703.2505337977,26820.0940609422,31380.6051218263,26240.8462290274,29559.6403685424,25824.7562782464,1.24711219855993,0.241866352242994
"P58660","Card10","Caspase recruitment domain-containing protein 10",0.473946784922395,18,12,24,6948.56473627286,6326.74119203621,7289.10063885114,6773.97129604602,6096.55971050989,8647.38476333641,7101.84013002825,6538.72830922227,1.14787145315932,0.694877841151675
"P58771-2","Tpm1;Tpm3;Tpm2","Tropomyosin alpha-1 chain;Tropomyosin alpha-3 chain;Tropomyosin beta chain",0.846614950634697,24,12,24,1942996.9207951,2139946.66334452,2299579.85136773,1880640.1166511,2233182.0376045,1870069.42583603,1708473.78460343,2262539.99631074,1.04194687439299,0.979863104277362
"P58774","Tpm2","Tropomyosin beta chain",0.846614950634697,12,12,24,15604.5236490532,14347.3157500401,14420.7067016959,19098.7328426135,15176.7689857526,20774.9862480053,19627.0321323001,14014.9013534535,1.14102752001815,0.944436327890757
"P58871","Tnks1bp1","182 kDa tankyrase-1-binding protein",0.710920177383592,12,12,24,831629.75869518,906763.013906471,888181.275660361,856474.440104928,820165.716112319,841283.08937579,817266.965377251,815805.393406563,1.05827030642881,0.632277336213896
"P58929","Gmeb2","Glucocorticoid modulatory element-binding protein 2",0.0289634146341463,12,6,24,19129.6140928978,16645.4096015755,14012.9948097814,15229.3596765562,16046.9387417902,18605.0652496672,15178.0790867991,15837.9954633861,1.2075771852769,0.181920455164975
"P59048","Pdrg1","p53 and DNA damage-regulated protein 1",0.0315964523281596,18,18,24,146584.100333855,140514.624513583,169101.936572079,147183.756219249,156588.97091323,141901.958879699,159767.997528045,166003.616247999,1.16448520886662,0.163833291345501
"P59242","Cgn","Cingulin",0.416574279379157,6,12,24,83432.0905558146,78606.8823783364,67258.5795398669,62441.6983132253,68939.8920082991,61246.2049620881,61167.9414202888,61680.0994255401,1.22760051288336,0.420622331754884
"P59325","Eif5","Eukaryotic translation initiation factor 5",0.0734478935698448,12,6,24,318134.485854776,344107.097235643,297545.622106431,302777.758790598,325920.332081139,306079.248804818,283599.164024092,295255.091150728,1.11880268318269,0.173823495907137
"P59383","Lrrn4","Leucine-rich repeat neuronal protein 4",0.212860310421286,24,6,24,2342609.53442649,2459591.43187198,2419960.60878752,2592383.02022582,2353221.97277703,2603413.11569259,2540587.71153098,2790086.87734594,1.1462229616448,0.0881547197060448
"P59997","Kdm2a","Lysine-specific demethylase 2A",0.220028208744711,12,12,24,4440.58845801017,4609.28559309746,4662.59237081481,3690.19783710015,4264.41226429773,5758.69958306553,3203.87767956634,3286.94380751929,1.48599321960999,0.230518718387828
"P59999","Arpc4","Actin-related protein 2/3 complex subunit 4",0.0736953455571227,18,12,24,597947.447592696,687651.675663997,704833.506030082,646263.156627392,662982.891593978,657422.172796936,695437.970019783,682634.435399843,1.11050660970936,0.265960263233012
"P60122","Ruvbl1","RuvB-like 1",0.51410437235543,6,18,24,20288.3464297962,18472.4501829645,17816.2051857038,14653.9716776722,14881.7914882062,13285.1694378955,9836.09539088431,12338.0445195795,1.30298298804309,0.72544878869112
"P60229","Eif3e","Eukaryotic translation initiation factor 3 subunit E",0.846614950634697,6,12,24,530891.434938553,544331.780215424,530316.417051935,534677.198908026,590741.82123034,542330.802363503,547636.739243265,555251.080672547,1.04052133399174,0.811365883003288
"P60335","Pcbp1","Poly(rC)-binding protein 1",0.473946784922395,24,12,24,986558.543760345,884398.638687124,1129153.39179317,1033984.97649272,1024886.96096319,943203.269190227,882820.802948356,992923.001608989,1.1090533279514,0.671188862066373
"P60670","Nploc4","Nuclear protein localization protein 4 homolog",0.220028208744711,18,12,24,177257.327907077,176393.009307114,181302.041949991,177940.491983114,174189.895608231,194504.039376904,196703.917786597,176979.617157953,1.07556962879271,0.433850301739936
"P60762","Morf4l1","Mortality factor 4-like protein 1",0.914315937940762,24,12,24,16287.070371985,14303.586372795,17809.0575929617,17202.1749750474,15756.3623417752,15827.7364743225,14547.7854975714,15671.2246604185,1.0910041952775,0.777070073409277
"P60766","Cdc42","Cell division control protein 42 homolog",0.0734478935698448,12,6,24,289990.08081441,273108.582496121,245735.063593639,250623.504002141,251060.435414683,260446.81563721,232610.459480537,243160.651322849,1.13108723742606,0.2483831409827
"P60843","Eif4a1","Eukaryotic initiation factor 4A-I",0.930570953436807,12,6,24,1517489.68184777,1428941.40791697,1369087.95181186,1488751.61841816,1416766.6197216,1497243.56507468,1446199.82903916,1418935.49980804,1.04225803185292,0.715244086069547
"P60867","Rps20","40S ribosomal protein S20",0.881513303769401,6,18,24,356116.978142919,488060.231728388,551010.606127953,269409.008459439,542147.899885089,293291.588760671,232663.787072694,401855.890980279,1.33816750850187,0.906852964883543
"P60898","Polr2i","DNA-directed RNA polymerase II subunit RPB9",0.416574279379157,6,12,24,43126.1561732035,38437.9133669215,34860.2434475506,38914.9967451229,36756.9616083279,38210.2928632738,33580.7794604407,34200.3224167111,1.16718182147748,0.32789047509782
"P60904","Dnajc5","DnaJ homolog subfamily C member 5",0.914315937940762,6,12,24,358953.451045962,228495.411521496,209321.327478238,304002.421521957,263768.69117276,293991.844167535,307179.780845834,221952.861647057,1.20565499702278,0.812814848004164
"P61022","Chp1","Calcineurin B homologous protein 1",0.00762195121951219,12,18,24,2984.60085905986,3973.61946387181,3619.89989135384,3208.93640029968,3043.60152323324,4612.51229897302,4170.75006473084,3316.95434684791,1.42432705777517,0.0278348433509898
"P61027","Rab10","Ras-related protein Rab-10",0.405487804878049,18,18,24,41596.4034672784,46685.8179171585,53701.9373829984,47770.8354170451,52565.9118674582,45544.9518675017,48705.5309550829,53166.3473689707,1.11033951659714,0.663842142570629
"P61082","Ube2m","NEDD8-conjugating enzyme Ubc12",0.220028208744711,6,12,24,33799.0449956465,37201.8784574713,32490.1924573401,33273.5273215584,35481.5096819654,31954.9748997011,30398.1961033879,32527.383568491,1.1016430260526,0.448118712386811
"P61087","Ube2k","Ubiquitin-conjugating enzyme E2 K",0.930570953436807,12,6,24,59701.4502981945,52306.821360642,43936.7579712683,54704.334887889,47484.0303909897,65291.0203242182,55652.9872468876,50100.8825724775,1.18082279884597,0.721957826524921
"P61089","Ube2n","Ubiquitin-conjugating enzyme E2 N",0.0881374722838137,12,6,24,16700.3529731035,19107.4258483389,13510.7861722631,15435.6399783707,14554.0310121965,15177.7018138153,13655.5992771884,13996.3370758784,1.26204230319667,0.289105359639311
"P61161","Actr2","Actin-related protein 2",0.212860310421286,24,6,24,930717.834756142,1091873.79887616,1022156.30066029,1092183.22535632,934299.205125981,1113396.98427861,1145918.90386543,1176768.837343,1.2165851647354,0.0520761227468146
"P61164","Actr1a","Alpha-centractin",0.846614950634697,12,12,24,33059.806173533,28117.5711056216,33601.9370773618,27467.4919913603,31918.3533969881,38891.7154902541,27594.5048296804,35782.9014387229,1.09498664477362,0.955419081862132
"P61202","Cops2","COP9 signalosome complex subunit 2",0.442350332594235,24,6,24,184831.467075506,195153.121376707,192971.595855096,197138.260706874,185421.444527233,205289.896421203,203143.431057754,207635.39333865,1.09323557320144,0.143037896096153
"P61205","Arf4;Arf3;Arf1;Arf2;Arf5","ADP-ribosylation factor 4;ADP-ribosylation factor 3;ADP-ribosylation factor 1;ADP-ribosylation factor 2;ADP-ribosylation factor 5",0.0881374722838137,12,18,24,4010518.73792172,4294038.94330193,4217357.26724199,4155207.9461148,4119075.8947976,4540885.56699045,4516257.6985978,4421176.55155407,1.08676076845631,0.297533790862956
"P61222","Abce1","ATP-binding cassette sub-family E member 1",0.961650876839347,18,6,24,915797.165390792,928029.97006529,1006290.19187074,906624.69504704,959267.809668944,904718.03799095,918868.557207759,907640.248904917,1.06112326950715,0.488631308506126
"P61255","Rpl26","60S ribosomal protein L26",0.881513303769401,12,18,24,427118.55542627,416319.259117316,371647.181106984,466345.305509229,379752.252575139,486413.241343197,549087.598536249,403145.749294007,1.14111797144311,0.8818325517582
"P61290","Psme3","Proteasome activator complex subunit 3",0.846614950634697,18,12,24,124598.399926336,136557.011257172,142367.051800224,122164.009225716,138110.425785268,133284.443310265,135607.202203681,149321.407697757,1.05810778625709,0.915431849619219
"P61294","Rab6b","Ras-related protein Rab-6B",0.00762195121951219,12,6,24,5915.49832927383,7301.23676389641,5128.62985718351,4340.94437750322,6581.28688942566,6596.43428308184,4060.14808788223,5824.46516539268,1.51246130117239,0.121782536719914
"P61327","Magoh;Magohb","Protein mago nashi homolog;Protein mago nashi homolog 2",0.920310296191819,12,6,24,123656.956170568,92934.3420618667,82450.00920729,106533.211467192,90455.5496397083,107288.119465213,101299.478629846,84126.9469361491,1.16524137471367,0.824409500422724
"P61358","Rpl27","60S ribosomal protein L27",0.753526093088858,6,18,24,462213.112955275,430784.476800742,423098.812884672,446548.994975951,436160.461204869,458344.400447379,477232.660790325,443308.281764417,1.01259951927503,0.99363290095897
"P61620","Sec61a1;Sec61a2","Protein transport protein Sec61 subunit alpha isoform 1;Protein transport protein Sec61 subunit alpha isoform 2",0.314174894217207,6,18,24,271675.357274,252953.524215558,219334.537640708,242157.645041737,221392.532991692,233026.267876017,199330.260396681,195217.532682004,1.17771518545884,0.488259667129704
"P61804","Dad1","Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1",0.914315937940762,6,12,24,14524.1982598698,14311.3279371877,10424.7072874819,12301.6472475565,10056.3345879941,11027.7063885489,11827.1604388415,13499.1016190596,1.15948688819925,0.826312940120105
"P61924","Copz1","Coatomer subunit zeta-1",0.961650876839347,24,6,24,37946.7211613114,55813.4361833132,48463.1541484902,55990.9320871103,43543.9218351523,43638.0822785091,37320.0441366526,44770.9861720972,1.23648451594105,0.518679883719198
"P61957","Sumo2;Sumo3","Small ubiquitin-related modifier 2;Small ubiquitin-related modifier 3",0.0193935119887165,6,12,24,987782.775552195,859408.847904461,720520.667151413,760033.711940461,797223.297167957,774616.536984066,732036.393623669,737983.367447259,1.2288715678871,0.224164174423727
"P61965","Wdr5","WD repeat-containing protein 5",0.917960088691796,12,18,24,50579.2525730338,51757.5887517031,49450.4089497563,47586.8100364579,45277.5903923075,51027.7208498174,45680.9110852969,53926.6622289949,1.08045709408476,0.587004968647283
"P61967","Ap1s1","AP-1 complex subunit sigma-1A",0.881513303769401,18,18,24,47549.9144561354,44044.375223235,48731.2146612869,46508.9329817244,46520.9870807434,47794.3552970701,46986.1979838562,49893.3934369279,1.04969140876069,0.667483767188627
"P61979-3","Hnrnpk","Heterogeneous nuclear ribonucleoprotein K",0.0736953455571227,6,12,24,676272.205773469,634863.339459705,527937.392893346,538069.469235523,541212.233480747,532409.228163767,473073.861246246,488870.762577659,1.21625449685947,0.372278812418872
"P61982","Ywhag","14-3-3 protein gamma;14-3-3 protein gamma, N-terminally processed",0.0736953455571227,6,12,24,522989.47160517,478134.761558982,441010.80406431,453152.572401083,480673.924033631,440263.615489317,398062.196223666,433859.474738957,1.19615742050374,0.132060039402222
"P62071","Rras2","Ras-related protein R-Ras2",1,6,18,24,125062.58400036,118128.949530583,103667.942524933,110720.455634178,99871.9923700667,114751.367880476,121312.470357705,119992.926081147,1.03532467604068,0.967997981133769
"P62073","Timm10","Mitochondrial import inner membrane translocase subunit Tim10",0.212860310421286,18,18,24,41855.9542805006,44781.8115395036,52716.8485189268,42980.7426737178,48259.5938772549,36813.629606726,49389.9782093236,48155.3257695907,1.25137906350995,0.279492507047008
"P62077","Timm8b","Mitochondrial import inner membrane translocase subunit Tim8 B",0.473946784922395,18,12,24,9653.72117893809,11412.4259193405,11359.4123268127,10631.0958592087,10173.5527958713,9721.25822273512,10352.6203906482,11107.591894092,1.09640325649001,0.573628371860975
"P62082","Rps7","40S ribosomal protein S7",0.753526093088858,6,18,24,1455426.71141748,1345681.09210535,1209149.4663569,1209970.03829113,1089950.91553655,1200951.6917252,1208887.84014806,1159957.77629598,1.07456132974001,0.903532536994677
"P62137","Ppp1ca;Ppp1cc","Serine/threonine-protein phosphatase PP1-alpha catalytic subunit;Serine/threonine-protein phosphatase PP1-gamma catalytic subunit",0.0289634146341463,24,6,24,2068587.38575852,2154588.26315721,2349105.7586997,2198545.59147004,1988109.69390604,2111821.77114487,2175463.78447884,2240731.8932833,1.11533334984742,0.0901703497307653
"P62192","Psmc1","26S protease regulatory subunit 4",0.881513303769401,6,18,24,444730.371654586,483530.37040133,546564.968466129,394437.807855737,551986.518762517,394197.522126857,400092.141767385,456192.30066183,1.17173949103933,0.775391914337532
"P62242","Rps8","40S ribosomal protein S8",0.914315937940762,6,12,24,3739359.58696103,3420817.7845164,3153077.82002136,3556566.96242577,3299247.24384386,3490931.45931983,3438744.0522311,2948971.08288737,1.08194076827754,0.758032504008012
"P62245","Rps15a","40S ribosomal protein S15a",0.923579946146942,18,6,24,683297.63640369,690169.776406313,690880.126063085,704334.079288322,720639.175244167,699660.554273755,729631.879111218,671792.589600763,1.03225381593763,0.78887588954971
"P62254","Ube2g1","Ubiquitin-conjugating enzyme E2 G1;Ubiquitin-conjugating enzyme E2 G1, N-terminally processed",0.442350332594235,24,6,24,27229.1125000367,31601.3796980549,29500.7865693439,28752.014830414,24583.7684162894,28166.3460948943,28452.7027413273,30521.3133746135,1.15353025610503,0.201776628992935
"P62257","Ube2h","Ubiquitin-conjugating enzyme E2 H",0.76163610719323,6,6,24,329822.864991989,400520.295427917,423052.91564412,324883.326085749,377299.680330648,320378.998820929,320902.686703622,356967.467803632,1.09108269582573,0.948255176414244
"P62259","Ywhae","14-3-3 protein epsilon",0.254573170731707,6,12,24,9064753.31154922,8101899.90118023,7770028.32459343,8665050.97596751,9601415.31491888,8582674.62289496,8825707.41516219,7993701.82056633,1.12475692064394,0.28465559094505
"P62267","Rps23","40S ribosomal protein S23",0.914315937940762,12,12,24,56018.985575732,58595.4824251251,61722.7122341544,51318.9790942835,51236.2259439552,48723.0340986545,44992.79239614,40132.4809050534,1.173502495472,0.698113527335394
"P62270","Rps18","40S ribosomal protein S18",0.750554323725055,18,6,24,1320133.93071301,1173385.77652386,1179389.0045459,1172412.85844432,1118788.10213689,1239348.38860872,1257252.41412107,1101957.88592385,1.07235024847606,0.732044688881158
"P62301","Rps13","40S ribosomal protein S13",0.923579946146942,6,18,24,469913.992121381,365273.894289738,369069.818985291,406993.317276191,391899.368397945,430027.392113414,411789.425196068,367234.436388301,1.11312641072383,0.734227488324827
"P62313","Lsm6","U6 snRNA-associated Sm-like protein LSm6",0.080394922425952,6,12,24,141208.157617386,110825.725067721,107490.305974047,113688.76625503,117561.285558811,110873.435248478,108752.491509602,99865.5568472132,1.21172655002777,0.206028295153005
"P62317","Snrpd2","Small nuclear ribonucleoprotein Sm D2",0.416574279379157,6,12,24,244910.802436779,200878.217476551,163892.857619097,207026.775137686,184399.835430937,204074.432857559,184331.641048582,164309.548995467,1.23285592917866,0.520441243609508
"P62320","Snrpd3","Small nuclear ribonucleoprotein Sm D3",0.917960088691796,6,18,24,598582.455141849,580153.358664831,569980.090357882,576684.96788406,594917.319195491,548194.884512715,603583.074139952,559234.913101126,1.05774062356522,0.336236407330509
"P62334","Psmc6","26S protease regulatory subunit 10B",0.914315937940762,24,12,24,685044.500236069,679576.491692304,721385.95906065,709012.156582596,735971.022272861,712811.089585782,708802.59890128,716451.913181722,1.02714831501811,0.824348754262447
"P62500","Tsc22d1","TSC22 domain family protein 1",0.930570953436807,6,18,24,234010.975842221,191389.674924522,155411.047565093,219343.831917917,198314.494400167,226670.629921537,229049.810112995,187790.385740982,1.12449801223816,0.878039580584468
"P62627","Dynlrb1","Dynein light chain roadblock-type 1",0.828159645232816,18,12,24,279492.982937596,297377.549941239,308518.156794344,269497.909609481,308080.292638363,294451.525999109,302998.934335084,336752.918260644,1.04075034816721,0.961252581834883
"P62700","Ypel5","Protein yippee-like 5",0.914315937940762,12,12,24,57142.7406619821,56824.547262436,48167.8647109614,58364.2964560693,60688.1893433673,62038.821991587,61112.1356095636,55217.7513235565,1.08769554269207,0.772798657460613
"P62702","Rps4x","40S ribosomal protein S4, X isoform",0.753526093088858,6,18,24,1595907.34222138,1348917.27525295,1412191.05087092,1539289.53176398,1312794.1126524,1551136.29850295,1427607.72851678,1324055.76432264,1.0242632245588,0.996076801710112
"P62715","Ppp2cb;Ppp2ca","Serine/threonine-protein phosphatase 2A catalytic subunit beta isoform;Serine/threonine-protein phosphatase 2A catalytic subunit alpha isoform",0.750554323725055,18,12,24,302422.929016823,289628.662447124,343522.796054867,300660.726070928,302522.607468131,310550.515254662,303353.227804491,307602.899864922,1.07780484210796,0.529025333026454
"P62737","Acta2;Actc1;Acta1","Actin, aortic smooth muscle;Actin, alpha cardiac muscle 1;Actin, alpha skeletal muscle",0.739421720733427,18,18,24,10388813.7165042,10467333.4053534,10822818.6421534,10735109.1083105,11275100.1702246,11235091.1684783,11535768.2411715,11767413.5400698,1.03870993791963,0.853747719002856
"P62743","Ap2s1","AP-2 complex subunit sigma",0.923579946146942,12,18,24,112028.818226061,122776.189712351,118482.334096712,124240.246195423,122807.255199152,132190.522052925,131642.144280127,120321.13430347,1.08572208709866,0.567970548236008
"P62746","Rhob","Rho-related GTP-binding protein RhoB",0.442350332594235,6,6,24,73523.20823196,62138.6081393238,74268.9550037346,69117.6807861137,74307.5069447823,69714.6985668289,72373.1607843368,72745.3011764177,1.12117563730272,0.181574127681836
"P62751","Rpl23a","60S ribosomal protein L23a",0.750554323725055,6,12,24,1069561.73570354,952335.3437862,906276.144137128,995264.376929024,1018104.85233994,956572.274874057,1071436.2650785,946400.35789785,1.09364464138327,0.586383688447584
"P62754","Rps6","40S ribosomal protein S6",0.828159645232816,6,12,24,1830130.23630585,1730756.44349123,1600853.46310745,2134883.08280862,1888866.15747089,1784948.60206066,1914187.03653073,1694419.05072037,1.08940484012152,0.817013605728357
"P62774","Mtpn","Myotrophin",0.254573170731707,18,12,24,69466.2207455461,87260.6122879251,86274.8480131984,79687.6324099045,72790.7743761892,72879.4155993544,77350.8004577615,78392.0210764088,1.15021161757943,0.392101257140232
"P62806","Hist1h4a","Histone H4",0.963137472283814,6,18,24,9371193.48754471,7622802.76901308,7525501.00820747,7493009.68481875,8273648.34791183,7727248.88533783,9104526.11392502,8488056.0502229,1.14949722859435,0.550402372921161
"P62814","Atp6v1b2","V-type proton ATPase subunit B, brain isoform",0.51410437235543,12,6,24,403346.540209939,423396.095129561,406581.210814963,412015.244463017,430427.945034271,411618.248525442,380748.819768229,397210.924113859,1.06056458056921,0.422592507214015
"P62827","Ran","GTP-binding nuclear protein Ran",0.930570953436807,12,6,24,453113.704146425,429496.343255244,369042.590060559,387242.642666602,342232.029761047,358551.72737594,316865.852227458,356175.56290221,1.15955087424555,0.707226337516065
"P62849","Rps24","40S ribosomal protein S24",0.846614950634697,24,12,24,230224.093052402,223531.394894038,194554.792804473,210069.466387407,209139.634883729,205538.529616271,233368.335433101,227172.398032681,1.02673517494994,0.978847209007415
"P62852","Rps25","40S ribosomal protein S25",0.473946784922395,18,12,24,2104293.04115399,2166700.67295968,2188057.60173602,2264726.17581687,2054726.88936492,2116849.00960731,2144638.41692296,1972976.54856043,1.04175889777917,0.863738589020581
"P62858","Rps28","40S ribosomal protein S28",0.254573170731707,6,12,24,49528.3473012181,44252.5605359566,34032.6491594854,43094.5361457718,37138.4189396533,40185.7097209834,36512.3284551026,43304.100548454,1.22853205389564,0.332697431513362
"P62862","Fau","40S ribosomal protein S30",0.0038787023977433,18,12,24,1120646.8275009,1175684.1842226,1285745.70024824,1237511.91091136,1124826.09606135,1213373.73258568,1314358.0963784,1256893.90039834,1.15793148487482,0.00233725331129199
"P62869","Tceb2","Transcription elongation factor B polypeptide 2",0.914315937940762,6,12,24,287044.893572903,261975.899052267,250528.798304593,228669.167441118,216643.50617499,213152.845276624,201378.847651186,239852.209876768,1.11458260167871,0.909926093176268
"P62874","Gnb1;Gnb2;Gnb4;Gnb3","Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1;Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2;Guanine nucleotide-binding protein subunit beta-4;Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-3",0.405487804878049,18,18,24,929678.510736877,935020.602711864,962588.902214482,932563.778711064,943040.755144319,923257.593517043,967909.014813066,970726.689793589,1.03886378312203,0.218202701002267
"P62897","Cycs","Cytochrome c, somatic",0.917960088691796,6,6,24,706424.930762276,799593.650624551,902474.862476707,802061.434285727,938539.420017433,631582.586281241,608493.893697903,802485.308859767,1.14937930658779,0.871175180798924
"P62908","Rps3","40S ribosomal protein S3",0.914315937940762,6,12,24,411017.476234368,368118.186893897,346049.929061618,389182.001498961,378386.699439469,418762.028192911,392216.087799417,373554.393404331,1.06926793004808,0.768568561468095
"P62911","Rpl32","60S ribosomal protein L32",0.473946784922395,6,12,24,239535.79369229,154031.500558907,133455.870482359,176323.577621958,159544.550485833,178555.712360422,159072.535969056,136301.079823011,1.36424475495991,0.513942516710033
"P62915","Gtf2b","Transcription initiation factor IIB",0.100846262341326,12,6,24,63649.6300489467,66485.6011615391,50172.1301649527,56808.2299931646,56879.4206272504,53272.9729676909,40665.2720604902,43443.0454480729,1.32686589139862,0.290719635678019
"P62960","Ybx1","Nuclease-sensitive element-binding protein 1",0.258110014104372,6,18,24,157595.629977214,126009.443619374,97904.0742305369,114269.784660084,102656.466280764,128126.691658203,117689.681954207,89965.6686461989,1.27427482371383,0.55960796160359
"P62962","Pfn1","Profilin-1",0.613540197461213,6,18,24,5380209.49274162,5588052.31157197,5246323.13004625,4971892.05887338,5500907.95383203,4974834.11600324,5082381.65464648,5369926.41878094,1.05348324629237,0.726191427818612
"P62983","Rps27a","Ubiquitin-40S ribosomal protein S27a;Ubiquitin;40S ribosomal protein S27a",0.0736953455571227,24,12,24,7612144.02000639,6394718.28927058,7308120.2799981,7662720.10344718,6763422.16091434,6990170.19959853,7368552.62094145,7516401.66963241,1.13404917685363,0.248310353434423
"P63001","Rac1;Rac2;Rac3","Ras-related C3 botulinum toxin substrate 1;Ras-related C3 botulinum toxin substrate 2;Ras-related C3 botulinum toxin substrate 3",0.212860310421286,12,6,24,159065.701873621,133275.843343503,111525.962666896,126446.180065136,122781.091194141,126766.175188851,122593.892929309,124990.511656426,1.20385685507116,0.441374301216608
"P63005","Pafah1b1","Platelet-activating factor acetylhydrolase IB subunit alpha",0.917960088691796,6,12,24,261145.290186294,231574.252603605,206944.88181631,251057.242835291,227154.505326872,246975.606684484,235113.460234613,216538.554194498,1.10460486561051,0.712623451693424
"P63017","Hspa2;Hspa8;Hspa1l;Hspa1a;Hspa1b","Heat shock-related 70 kDa protein 2;Heat shock cognate 71 kDa protein;Heat shock 70 kDa protein 1-like;Heat shock 70 kDa protein 1A;Heat shock 70 kDa protein 1B",0.87672778561354,18,18,24,18671429.3785466,18287102.4538165,20619517.4629762,18631745.6806789,19763605.4299574,18996559.3262418,19460667.162836,19754046.5760479,1.07500665739999,0.408061048771283
"P63024","Vamp3","Vesicle-associated membrane protein 3",0.562915742793792,12,12,24,3916.96640718299,6162.70371949979,6678.82204930957,4378.79651161006,5302.62943927055,5634.64623944349,3756.0064194295,4841.00974021686,1.27959513143749,0.695339537950419
"P63037","Dnaja1","DnaJ homolog subfamily A member 1",0.920310296191819,12,18,24,461807.021938402,480224.408558458,434664.917503769,519209.485370301,462320.654240918,526734.02057152,546776.338470668,469552.221481611,1.08963128698094,0.826242595210057
"P63038","Hspd1","60 kDa heat shock protein, mitochondrial",0.0736953455571227,6,12,24,7047093.26972065,6392421.7541935,5753224.98216171,5816669.19187084,5931791.13522633,5586274.0215585,5360709.52845397,5811367.98551137,1.1678028507861,0.407782145017905
"P63073","Eif4e","Eukaryotic translation initiation factor 4E",0.920310296191819,6,18,24,211547.45536977,189923.590013728,166230.522691255,171125.82371616,162004.573407247,158233.826596182,148561.860305268,148494.733237782,1.18666158698364,0.606897657647999
"P63085","Mapk1","Mitogen-activated protein kinase 1",0.195121951219512,6,6,24,1140309.17921115,1012070.51002881,1033890.9358211,1046891.25033962,1038997.84997,1013582.84588816,956669.559318425,1030115.55736259,1.09482079771125,0.314977162990717
"P63094","Gnas","Guanine nucleotide-binding protein G(s) subunit alpha isoforms short;Guanine nucleotide-binding protein G(s) subunit alpha isoforms XLas",0.881513303769401,18,18,24,511718.297751391,563115.01236246,576196.722037839,501890.484406193,564902.388499424,484024.201963426,539004.066789192,547169.455766693,1.06499763696173,0.808645306716633
"P63101","Ywhaz;Ywhab;Ywhaq","14-3-3 protein zeta/delta;14-3-3 protein beta/alpha;14-3-3 protein beta/alpha, N-terminally processed;14-3-3 protein theta",0.963137472283814,6,18,24,4699390.78608762,4612749.4200845,4355320.96872561,4231268.6091611,4256637.82947121,4054041.90550055,4154384.73537803,4100139.371194,1.07497179788537,0.709591435213092
